parameter,annex_placeholder,in_state_value,source,status,confirmed_2026_09_22
basalt density,2.80 to 3.00 g/cm3,"Parasnis 2.70-3.30; Dobrin diabase 2.80-3.11, basic igneous average 2.79; Grant and West igneous 2.55-2.95; Risely Roopena 2.61-3.35","rows 33, 41, 103, 142, 182","in state, supported","Normal(2.80, 0.12) truncated 2.60 to 3.35 g/cm3 (citation row L5-1)"
cover density,2.4 to 2.6 g/cm3,"Dobrin averages 2.32-2.70; Grant and West limits 2.05-2.70; Risely Pandurra 2.44, Moonabie 2.62-2.66; RDD1 cover core 2.58-2.81","rows 35-39, 143-146, 184, 185, 195-200","in state, supported","per unit: quartzite Uniform(2.60, 2.70), shale Uniform(2.10, 2.60), limestone Uniform(2.20, 2.70), Pandurra 2.44 +/- 0.05 (citation row L5-2)"
density contrast for the anomaly,0.3 g/cm3 (WMC),Rutter and Esdale 0.3 (after t0); Risely 1968 gives 0.14 to 0.36; RDD1 measured 0.35-0.47; all three books say a contrast cannot be pinned from lithology,"rows 42, 148, 178, 188, 201","carry as a distribution, not a number",derived from the drawn densities; check it spans about 0.15 to 0.5
basalt susceptibility,magnetic,"Dobrin measured 680, from magnetite content up to 26000; Parasnis 250-105000; Grant and West mean 2950 (x 1e-6 cgs)","rows 55, 58, 119, 155","in state; two orders of spread, no WMC number","LogUniform(20, 26000) x 1e-6 cgs (citation row L5-1) (susceptibility corrected 2026-09-23: Parasnis Table I is in rationalised units; range now 20 to 26,000 x 1e-6 cgs)"
cover susceptibility,non-magnetic,"17 to 52 x 1e-6 cgs (sandstone, shale, limestone, dolomite, slates); Grant and West: 73 per cent of sedimentary samples below 1e-4 emu","rows 47, 48, 63-66, 124, 154","in state, supported","LogUniform(10, 100) x 1e-6 cgs (citation row L5-2)"
"cover resistivity, conductive where saturated",conductive where saturated,sample values 70-7000 ohm-m for sandstone and 20-2000 for shale; in-situ logs 1-1000 ohm-m; formation factor F = aP^-m with m 1.5-2.6,"rows 82-90, 165-168","in state, from the books only; no era measurement at the deposit","LogUniform(1, 1000) ohm-m (citation row L5-2)"
ore blanket close to invisible,close to invisible to gravity and magnetics,"a 30 m blanket at 4% Cu as chalcopyrite gives 0.15 mGal, below Mount Gunson's 0.3 mGal residual contrast, where seven methods showed no diagnostic relationship; haematite ore is weakly magnetic and hematite is not normally a conductor","rows 106, 130, 176, 177, 191, 193","in state, supported",derived from grade and thickness (citation row L5-3)
shear velocity,undefined (no era value),nothing in the three books or the era reports on disk; the annex already states the seismic channel is undefined under the period prior,none,correct as written,undefined by design (fixed setting)
"basement density variation, Change 1",fixed 2.60 before Change 1,"granite 2.52-2.81, diorite 2.72-2.96, gabbro 2.85-3.12 (Dobrin 1960); gneiss 2.70 (Parasnis 1973); Gawler Range granophyre 2.57-2.62 (Risely 1968)",Dobrin 1960; Parasnis 1973; Risely 1968,cited; patch size declared,"sd Uniform(0.03, 0.10) g/cm3, mean 2.65, two-scale 30 km + 4 km, 80% (citation row L5-4 'Basement density; susceptibility variation' since Change 6, 2026-09-23)"
"iron-oxide body density, Change 1",WP4 Task 3: 3.0 to 4.5,"hard ore SG 4.62, 4.5 in place; low grade 3.0-4.0 (Bull 009); hematite 5.1, magnetite 5.2 (Parasnis)",Bull 009 (1922); Parasnis 1973; RB 26/00103 (1948),cited,"Uniform(3.0, 4.5) g/cm3; susceptibility fixed 5,000 x 1e-6 cgs (citation row L2-4 'Iron-oxide body size; density' since Change 6, 2026-09-23)"
"basement susceptibility variation, Change 2",fixed 500 before Change 1,"granite 28-2,700, gabbro 68-2,370 (Dobrin); granites 60/23/16/1 per cent by decade (Grant and West 12-2); Kiruna porphyry to 16,700 cgs (Parasnis, converted)",Dobrin 1960; Grant and West 1965; Parasnis 1973,cited; patch size and independence declared,"sd Uniform(0.5, 1.0) decades, median 1,120 (Change 4), limits 10-20,000, two-scale 30 km + 4 km, 80% (Change 5) (citation row L5-4 'Basement density; susceptibility variation' since Change 6, 2026-09-23)"
