row,deposit,parameter,value,unit,quote,source,page_pdf,page_printed,doc_date,status_t0,note
1,Kupferschiefer (Mansfeld),thickness,0.5,m,a thin-bedded bituminous marine marl or shale about 50 centimeters thick,"Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",183,173,1973,pre-t0,host bed thickness
2,Kupferschiefer (Lower Silesia),presence of ore,economic in some areas,text,The equivalent Zechstein shales of Lower Silesia in Poland contain economic concentrations of copper in some areas,"Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",183,173,1973,pre-t0,Haranczyk 1970; ore fraction not given
3,Copperbelt (Zaire-Zambia),zoning,"barren at shoreline, Cu sulfides, then pyrite basinward",text,zonal arrangement of ore minerals within the ore formation parallel to the shoreline,"Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",184,174,1973,pre-t0,Garlick 1961; supports reduced-facies side of rule
4,Copperbelt (Zaire-Zambia),district ore reserve,> 1000,Mt ore (short tons),a known reserve of well over a billion tons of ore,"Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",184,174,1973,pre-t0,inferred from production rate; speculative resources several times as great
5,Copperbelt (Zaire-Zambia),share of world identified Cu resources,15,percent,The sedimentary deposits of Zaire and Zambia alone make up 15 percent,"Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",182,172,1973,pre-t0,table 39
6,Copperbelt (Zaire-Zambia),deposits in field,7,count,a field of seven deposits in Zaire and Zambia,"Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",188,178,1973,pre-t0,figure 22
7,Copperbelt (Zaire-Zambia),mean contained Cu per deposit,4,Mt Cu (short tons),an average copper content of 4 million tons each,"Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",188,178,1973,pre-t0,figure 22
8,Copperbelt (Zaire-Zambia),mean grade,3.5,percent Cu,in ore averaging 3.5 percent copper,"Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",188,178,1973,pre-t0,implies ~115 Mt ore per deposit
9,Copperbelt (Zaire-Zambia),ore tonnage per deposit (field envelope),55-330,Mt ore (short tons),7 African sedimentary deposits (figure label),"Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",181,171,1973,pre-t0,read by eye from figure 22 envelope; approximate
10,Copperbelt (Zaire-Zambia),grade range (field envelope),2-4.5,percent Cu,7 African sedimentary deposits (figure label),"Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",181,171,1973,pre-t0,read by eye from figure 22 envelope; approximate
11,White Pine (Nonesuch Shale),ore bed thickness,1-8,m,this single bed which is 1-8 meters thick,"Cox, Schmidt, Vine, Kirkemo et al. 1973, Copper, in USGS PP 820",184,174,1973,pre-t0,basal parting shale
