target,method,px_x,px_y,radius_km,score,easting_amg66,northing_amg66,sheet,source
TOD74-01,auto (ring match on blue ink),3008,2788,5.0,0.55,733313.0,6607435.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74
TOD74-02,auto (ring match on blue ink),2672,3828,4.75,0.48,722502.0,6573973.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74
TOD74-03,auto (ring match on blue ink),3324,2064,5.25,0.45,743481.0,6630730.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74
TOD74-04,auto (ring match on blue ink),2296,2436,5.75,0.44,710404.0,6618761.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74
TOD74-05,auto (ring match on blue ink),1132,2676,5.75,0.43,672952.0,6611039.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74
TOD74-06,auto (ring match on blue ink),1356,3256,5.25,0.42,680159.0,6592377.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74
TOD74-07,auto (ring match on blue ink),2548,5832,4.75,0.41,718513.0,6509493.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74
TOD74-08,auto (ring match on blue ink),1844,3460,4.5,0.39,695861.0,6585813.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74
TOD74-09,auto (ring match on blue ink),2024,1512,5.5,0.38,701653.0,6648491.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74
TOD74-10,auto (ring match on blue ink),2688,3948,5.0,0.37,723017.0,6570112.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74
TOD74-11,auto (ring match on blue ink),1768,2260,5.25,0.36,693416.0,6624424.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74
TOD74-12,auto (ring match on blue ink),2164,5596,5.0,0.35,706157.0,6517087.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74
TOD74-13,auto (ring match on blue ink),2576,1740,5.75,0.35,719413.0,6641155.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74
TOD74-14,auto (ring match on blue ink),1460,2052,5.75,0.34,683506.0,6631116.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74
TOD74-15,auto (ring match on blue ink),1700,7140,5.5,0.28,691228.0,6467408.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74
TOD74-16,auto (ring match on blue ink),584,6916,6.0,0.23,655320.0,6474615.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74
TOD74-17,manual (placed by eye),2076,6845,5.25,,703326.0,6476899.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74
TOD74-18,manual (placed by eye),1796,6619,5.25,,694317.0,6484171.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74
TOD74-19,manual (placed by eye),1521,7564,5.25,,685468.0,6453765.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74
TOD74-20,manual (placed by eye),1850,7564,5.25,,696054.0,6453765.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74
