target,method,px_x,px_y,radius_km,score,easting_amg66,northing_amg66,sheet,source,lon,lat,in_regional_window,crs_note
TOD74-01,auto (ring match on blue ink),3008,2788,5.0,0.55,733313.0,6607435.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74,137.4358516958567,-30.641425198713126,True,lon/lat GDA-agnostic WGS84 from AGD66 AMG zone 53 (EPSG:20253) via pyproj
TOD74-02,auto (ring match on blue ink),2672,3828,4.75,0.48,722502.0,6573973.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74,137.3303935387404,-30.94518491403452,True,lon/lat GDA-agnostic WGS84 from AGD66 AMG zone 53 (EPSG:20253) via pyproj
TOD74-03,auto (ring match on blue ink),3324,2064,5.25,0.45,743481.0,6630730.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74,137.5363982975103,-30.429390261861517,False,lon/lat GDA-agnostic WGS84 from AGD66 AMG zone 53 (EPSG:20253) via pyproj
TOD74-04,auto (ring match on blue ink),2296,2436,5.75,0.44,710404.0,6618761.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74,137.19465823208714,-30.54355580542428,True,lon/lat GDA-agnostic WGS84 from AGD66 AMG zone 53 (EPSG:20253) via pyproj
TOD74-05,auto (ring match on blue ink),1132,2676,5.75,0.43,672952.0,6611039.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74,136.8057161127001,-30.619196348470712,True,lon/lat GDA-agnostic WGS84 from AGD66 AMG zone 53 (EPSG:20253) via pyproj
TOD74-06,auto (ring match on blue ink),1356,3256,5.25,0.42,680159.0,6592377.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74,136.8841411083846,-30.786439027290115,True,lon/lat GDA-agnostic WGS84 from AGD66 AMG zone 53 (EPSG:20253) via pyproj
TOD74-07,auto (ring match on blue ink),2548,5832,4.75,0.41,718513.0,6509493.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74,137.30273234001194,-31.527259167008946,False,lon/lat GDA-agnostic WGS84 from AGD66 AMG zone 53 (EPSG:20253) via pyproj
TOD74-08,auto (ring match on blue ink),1844,3460,4.5,0.39,695861.0,6585813.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74,137.04941165688092,-30.843143136063002,True,lon/lat GDA-agnostic WGS84 from AGD66 AMG zone 53 (EPSG:20253) via pyproj
TOD74-09,auto (ring match on blue ink),2024,1512,5.5,0.38,701653.0,6648491.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74,137.0977439857644,-30.276956609860687,True,lon/lat GDA-agnostic WGS84 from AGD66 AMG zone 53 (EPSG:20253) via pyproj
TOD74-10,auto (ring match on blue ink),2688,3948,5.0,0.37,723017.0,6570112.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74,137.33662843339533,-30.97989749238737,True,lon/lat GDA-agnostic WGS84 from AGD66 AMG zone 53 (EPSG:20253) via pyproj
TOD74-11,auto (ring match on blue ink),1768,2260,5.25,0.36,693416.0,6624424.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74,137.01661030752177,-30.495348535933484,True,lon/lat GDA-agnostic WGS84 from AGD66 AMG zone 53 (EPSG:20253) via pyproj
TOD74-12,auto (ring match on blue ink),2164,5596,5.0,0.35,706157.0,6517087.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74,137.17109716594612,-31.4610676452014,False,lon/lat GDA-agnostic WGS84 from AGD66 AMG zone 53 (EPSG:20253) via pyproj
TOD74-13,auto (ring match on blue ink),2576,1740,5.75,0.35,719413.0,6641155.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74,137.28379587188067,-30.34001756846404,True,lon/lat GDA-agnostic WGS84 from AGD66 AMG zone 53 (EPSG:20253) via pyproj
TOD74-14,auto (ring match on blue ink),1460,2052,5.75,0.34,683506.0,6631116.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74,136.9122237311982,-30.43655003109114,True,lon/lat GDA-agnostic WGS84 from AGD66 AMG zone 53 (EPSG:20253) via pyproj
TOD74-15,auto (ring match on blue ink),1700,7140,5.5,0.28,691228.0,6467408.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74,137.02375926961525,-31.911573042333156,False,lon/lat GDA-agnostic WGS84 from AGD66 AMG zone 53 (EPSG:20253) via pyproj
TOD74-16,auto (ring match on blue ink),584,6916,6.0,0.23,655320.0,6474615.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74,136.64299395550287,-31.852059446410006,False,lon/lat GDA-agnostic WGS84 from AGD66 AMG zone 53 (EPSG:20253) via pyproj
TOD74-17,manual (placed by eye),2076,6845,5.25,,703326.0,6476899.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74,137.1496438779074,-31.823903762200253,False,lon/lat GDA-agnostic WGS84 from AGD66 AMG zone 53 (EPSG:20253) via pyproj
TOD74-18,manual (placed by eye),1796,6619,5.25,,694317.0,6484171.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74,137.0530598875116,-31.75990934986445,False,lon/lat GDA-agnostic WGS84 from AGD66 AMG zone 53 (EPSG:20253) via pyproj
TOD74-19,manual (placed by eye),1521,7564,5.25,,685468.0,6453765.0,OD6_iv,Blue 'T.O'D targets (1974)' on the Sept 1974 WMC summary plan for the target-selection meeting 30/9/74-5/10/74,136.96549390409996,-32.03554131425851,False,lon/lat GDA-agnostic WGS84 from AGD66 AMG zone 53 (EPSG:20253) via pyproj
