DRILLHOLE_NO,DH_NAME,DH_OTHER_NAME,lon_dd,lat_dd,max_depth_m,drill_date,TARGET_COMMODITIES,MINERAL_CLASS,PETROLEUM_CLASS,STRATIGRAPHIC_CLASS,WATER_WELL_CLASS,STRAT_LOG,LITHO_LOG,PETROPHYSICAL_LOG,CORE_LIBRARY,OPERATOR_NAME,TENEMENT,MAP_250000,dist_od_km,in_regional_window,strat_units_top_to_base,gis_codes_top_to_base,deepest_logged_base_m,oldest_age_rank,oldest_age_class,depth_top_pre_adelaidean_m,depth_top_crystalline_basement_m,first_pre_adelaidean_unit,first_crystalline_basement_unit,reached_pre_adelaidean,reached_crystalline_basement,pandurra_logged,hole_type,cutoff_t0,buffer_deg
18057,WOOMERA 1,,136.8513387,-31.1818594,611.12,1958-05-30,Oil,Y,N,N,N,Y,Y,Y,Y,Clarence River Basin Oil Co.,OEL 12,SH5316 TORRENS,82.5,False,Tertiary-Pleistocene rocks > Bulldog Shale > Corraberra Sandstone Member > Tregolana Shale Member > Whyalla Sandstone > Tapley Hill Formation > Pandurra Formation,aI > K--rmb > N-hwstc > N-hwstt > N-hueh > N-hunt > M----p,611.12,3.0,Mesoproterozoic,454.15,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
13813,SISTERS BORE,,135.7405699,-30.5368783,54.25,1962-05-09,Water,N,N,N,Y,Y,N,N,N,, ,SH5311 KINGOONYA,110.4,False,Quaternary rocks > Algebuckina Sandstone > Stuart Range Formation > Pandurra Formation,IH > JK---a > P----s > M----p,54.3,3.0,Mesoproterozoic,53.0,,Pandurra Formation,,True,False,True,water,1975-05-02,2.0
13999,SWAMP BORE NO.1.,,135.7304249,-30.4934783,58.52,1961-01-01,Water,N,N,N,Y,Y,N,N,N,, ,SH5311 KINGOONYA,111.0,False,Quaternary rocks > Algebuckina Sandstone > Boorthanna Formation > Pandurra Formation,IH > JK---a > CP---b > M----p,58.5,3.0,Mesoproterozoic,40.2,,Pandurra Formation,,True,False,True,water,1975-05-02,2.0
256314,LY 3,,137.1542797,-31.4343714,246.6,1974-03-07,,Y,N,N,N,Y,N,N,Y,CSR Ltd.,EL 81,SH5316 TORRENS,113.4,False,Quaternary rocks > Woocalla Dolomite Member > Pandurra Formation > Gairdner Dolerite > Pandurra Formation > Gairdner Dolerite,IH > N-huntw > M----p > N----g > M----p > N----g,246.4,3.0,Mesoproterozoic,29.5,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
13842,CATTLE WELL BORE,,135.8777438,-30.9768963,30.48,1962-08-03,Water,N,N,N,Y,Y,N,N,N,, ,SH5311 KINGOONYA,113.4,False,Quaternary rocks > Danae Conglomerate Member > Algebuckina Sandstone > Pandurra Formation,IH > mp---md > JK---a > M----p,30.5,3.0,Mesoproterozoic,16.8,,Pandurra Formation,,True,False,True,water,1975-05-02,2.0
256313,LY 2,,137.1326077,-31.4500464,667.4,1974-03-01,,Y,N,N,N,Y,N,N,Y,CSR Ltd.,EL 81,SH5316 TORRENS,114.6,False,Quaternary rocks > Whyalla Sandstone > Pandurra Formation,IH > N-hueh > M----p,667.4,3.0,Mesoproterozoic,29.4,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
184730,GY 1,,137.1732736,-31.4437524,37.7,1975-02-26,Copper,Y,N,N,N,Y,N,N,Y,Mount Gunson Mines Pty Ltd.,EL 81,SH5316 TORRENS,114.8,False,Holocene aeolian sediments > Whyalla Sandstone > Woocalla Dolomite Member > Neoproterozoic rocks > Pandurra Formation,H---e > N-hueh > N-huntw > N- > M----p,37.7,3.0,Mesoproterozoic,32.7,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
13792,CROWS NEST BORE.,,135.7273569,-30.8371533,48.77,1962-05-10,Water,N,N,N,Y,Y,N,N,N,, ,SH5311 KINGOONYA,119.4,False,Tertiary-Pleistocene rocks > Algebuckina Sandstone > Pandurra Formation,aI > JK---a > M----p,48.8,3.0,Mesoproterozoic,33.5,,Pandurra Formation,,True,False,True,water,1975-05-02,2.0
13761,MCCORQUINDALES BORE,,135.5999729,-30.8489123,71.93,1959-09-11,Water,N,N,N,Y,Y,N,N,N,, ,SH5311 KINGOONYA,131.2,False,Tertiary-Pleistocene rocks > Algebuckina Sandstone > Pandurra Formation,aI > JK---a > M----p,71.93,3.0,Mesoproterozoic,39.3,,Pandurra Formation,,True,False,True,water,1975-05-02,2.0
139671,LD 1,,137.1013426,-31.6485234,92.7,1971-03-27,Base Metals,Y,N,N,N,Y,N,N,N,Noranda Australia Ltd.,SML 499,SH5316 TORRENS,135.8,False,Tertiary-Pleistocene rocks > Whyalla Sandstone > Tapley Hill Formation > Pandurra Formation,aI > N-hueh > N-hunt > M----p,92.66,3.0,Mesoproterozoic,90.98,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
139770,MF 4,,136.6583447,-31.6571334,91.5,1973-06-22,Base Metals,Y,N,N,N,Y,N,N,N,Pacminex Pty Ltd.,EL 199,SH5316 TORRENS,137.0,False,Quaternary rocks > Whyalla Sandstone > Umberatana Group unit 2 > Woocalla Dolomite Member > Pandurra Formation,IH > N-hueh > N-hu----02 > N-huntw > M----p,91.5,3.0,Mesoproterozoic,89.0,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
9566,,,135.4884249,-30.6999433,86.56,1962-08-09,Water,N,N,N,Y,Y,N,N,N,, ,SH5311 KINGOONYA,137.0,False,Quaternary rocks > Algebuckina Sandstone > Pandurra Formation,IH > JK---a > M----p,86.6,3.0,Mesoproterozoic,30.5,,Pandurra Formation,,True,False,True,water,1975-05-02,2.0
9560,,,135.4946909,-30.8350713,56.69,1962-08-08,Water,N,N,N,Y,Y,N,N,N,, ,SH5311 KINGOONYA,140.2,False,Quaternary rocks > Algebuckina Sandstone > Pandurra Formation,IH > JK---a > M----p,56.7,3.0,Mesoproterozoic,39.0,,Pandurra Formation,,True,False,True,water,1975-05-02,2.0
139771,MF 5,,136.7366727,-31.7291554,96.0,1973-06-23,Base Metals,Y,N,N,N,Y,N,N,N,Pacminex Pty Ltd.,EL 199,SH5316 TORRENS,143.9,False,Quaternary rocks > Woocalla Dolomite Member > Pandurra Formation,IH > N-huntw > M----p,96.0,3.0,Mesoproterozoic,92.0,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
9563,N. MUNGILLIO BOR,,135.4433269,-30.8421963,35.97,1962-01-01,Water,N,N,N,Y,Y,N,N,N,, ,SH5311 KINGOONYA,145.1,False,Quaternary rocks > Danae Conglomerate Member > Algebuckina Sandstone > Pandurra Formation,IH > mp---md > JK---a > M----p,36.0,3.0,Mesoproterozoic,30.5,,Pandurra Formation,,True,False,True,water,1975-05-02,2.0
139768,MF 2,,136.6396127,-31.7313454,94.5,1973-06-21,Base Metals,Y,N,N,N,Y,N,N,N,Pacminex Pty Ltd.,EL 199,SH5316 TORRENS,145.4,False,Quaternary rocks > Woocalla Dolomite Member > Pandurra Formation,IH > N-huntw > M----p,94.5,3.0,Mesoproterozoic,71.0,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
139672,LD 2,,137.1513456,-31.7318594,185.4,1971-05-05,Base Metals,Y,N,N,N,Y,N,N,N,Noranda Australia Ltd.,SML 499,SH5316 TORRENS,145.7,False,Tertiary-Pleistocene rocks > Whyalla Sandstone > Tapley Hill Formation > Pandurra Formation,aI > N-hueh > N-hunt > M----p,185.4,3.0,Mesoproterozoic,183.46,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
139561,MF 1,,136.5814847,-31.7266644,94.5,1973-06-19,Base Metals,Y,N,N,N,Y,N,N,N,Pacminex Pty Ltd.,EL 199,SH5316 TORRENS,145.9,False,Quaternary rocks > Woocalla Dolomite Member > Pandurra Formation,IH > N-huntw > M----p,94.5,3.0,Mesoproterozoic,38.0,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
139673,LD 3,,137.0513506,-31.7651944,192.6,1971-05-24,Base Metals,Y,N,N,N,Y,N,N,Y,Noranda Australia Ltd.,SML 499,SH5316 TORRENS,148.1,False,Tertiary-Pleistocene rocks > Whyalla Sandstone > Tapley Hill Formation > Pandurra Formation,aI > N-hueh > N-hunt > M----p,192.6,3.0,Mesoproterozoic,191.72,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
139674,LD 4,,136.9680097,-31.7985284,137.2,1971-06-02,Base Metals,Y,N,N,N,Y,N,N,N,Noranda Australia Ltd.,SML 499,SH5316 TORRENS,151.1,False,Tertiary-Pleistocene rocks > Whyalla Sandstone > Tapley Hill Formation > Pandurra Formation,aI > N-hueh > N-hunt > M----p,136.34,3.0,Mesoproterozoic,135.27,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
139676,LD 6,,137.2513456,-31.7985224,67.8,1971-06-01,Base Metals,Y,N,N,N,Y,N,N,N,Noranda Australia Ltd.,SML 499,SH5316 TORRENS,154.9,False,Tertiary-Pleistocene rocks > Whyalla Sandstone > Tapley Hill Formation > Pandurra Formation,aI > N-hueh > N-hunt > M----p,67.76,3.0,Mesoproterozoic,66.05,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
139675,LD 5,,137.1346776,-31.8318574,83.1,1971-06-01,Base Metals,Y,N,N,N,Y,N,N,N,Noranda Australia Ltd.,SML 499,SH5316 TORRENS,156.4,False,Tertiary-Pleistocene rocks > Whyalla Sandstone > Tapley Hill Formation > Pandurra Formation,aI > N-hueh > N-hunt > M----p,83.1,3.0,Mesoproterozoic,82.6,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
134293,G 1,,136.2925448,-31.7826994,304.0,1904-10-23,"Base Metals, Copper, Lead, Zinc",Y,N,N,N,Y,N,N,N,PNC Exploration (Australia) Pty Ltd.,EL 1245,SH5315 GAIRDNER,159.6,False,Quaternary rocks > Yardea Dacite,IH > M-tauy,304.0,3.0,Mesoproterozoic,4.0,4.0,Yardea Dacite,Yardea Dacite,True,True,False,mineral,1975-05-02,2.0
