DRILLHOLE_NO,DH_NAME,DH_OTHER_NAME,lon_dd,lat_dd,max_depth_m,drill_date,TARGET_COMMODITIES,MINERAL_CLASS,PETROLEUM_CLASS,STRATIGRAPHIC_CLASS,WATER_WELL_CLASS,STRAT_LOG,LITHO_LOG,PETROPHYSICAL_LOG,CORE_LIBRARY,OPERATOR_NAME,TENEMENT,MAP_250000,dist_od_km,in_regional_window,strat_units_top_to_base,gis_codes_top_to_base,deepest_logged_base_m,oldest_age_rank,oldest_age_class,depth_top_pre_adelaidean_m,depth_top_crystalline_basement_m,first_pre_adelaidean_unit,first_crystalline_basement_unit,reached_pre_adelaidean,reached_crystalline_basement,pandurra_logged,hole_type,cutoff_t0,buffer_deg
24900,WILKATANA 6,188000008,137.7805917,-32.1357436,135.64,1956-03-22,,N,Y,Y,N,N,Y,N,N,SANTOS LIMITED,OEL 7,SI5304 PORT AUGUSTA,206.7,False,,,,,,,,,,,,,petroleum,1975-05-02,2.0
24953,WILKATANA 5,727008105,137.8302575,-32.1291042,157.58,1956-03-30,,N,Y,Y,N,N,N,N,N,SANTOS LIMITED,OEL 7,SI5304 PORT AUGUSTA,208.0,False,,,,,,,,,,,,,petroleum,1975-05-02,2.0
24955,WILKATANA 7,727008202,137.8352853,-32.1246039,144.93,1956-04-27,,N,Y,Y,N,N,Y,N,N,SANTOS LIMITED,OEL 7,SI5304 PORT AUGUSTA,207.8,False,,,,,,,,,,,,,petroleum,1975-05-02,2.0
24903,WILKATANA 10,188000011,137.8094244,-32.1240764,13.72,1956-05-29,,N,Y,Y,N,N,Y,N,N,SANTOS LIMITED,OEL 7,SI5304 PORT AUGUSTA,206.7,False,,,,,,,,,,,,,petroleum,1975-05-02,2.0
24951,WILKATANA 3,727008102,137.8301464,-32.1258264,406.6,1956-05-29,Oil,N,Y,N,N,Y,Y,N,Y,SANTOS LIMITED,OEL 7,SI5304 PORT AUGUSTA,207.7,False,Neuroodla Formation > Cotabena Formation > Wilkawillina Limestone > Parachilna Formation,op---u > eo---o > E-rh-w > E-rh-p,406.6,1.0,Cambrian,,,,,False,False,False,petroleum,1975-05-02,2.0
24928,WILKATANA 1,727008101,137.8301186,-32.1247153,670.32,1956-06-11,Oil,N,Y,N,N,Y,Y,N,Y,SANTOS LIMITED,OEL 7,SI5304 PORT AUGUSTA,207.6,False,Quaternary rocks > Neuroodla Formation > Cotabena Formation > Wilkawillina Limestone > Parachilna Formation > Neoproterozoic rocks,IH > op---u > eo---o > E-rh-w > E-rh-p > N-,670.32,2.0,Adelaidean,,,,,False,False,False,petroleum,1975-05-02,2.0
24904,WILKATANA 10A,188000012,137.8094522,-32.1251875,81.38,1956-06-29,Water,N,Y,Y,N,N,Y,N,N,SANTOS LIMITED, ,SI5304 PORT AUGUSTA,206.8,False,,,,,,,,,,,,,petroleum,1975-05-02,2.0
24901,WILKATANA 8,188000009,137.8197853,-32.1249375,324.61,1956-07-16,,N,Y,N,N,Y,Y,N,Y,SANTOS LIMITED,OEL 7,SI5304 PORT AUGUSTA,207.2,False,Quaternary rocks > Neuroodla Formation > Cotabena Formation > Wilkawillina Limestone > Parachilna Formation,IH > op---u > eo---o > E-rh-w > E-rh-p,324.61,1.0,Cambrian,,,,,False,False,False,petroleum,1975-05-02,2.0
24898,WILKATANA 2,,137.8300908,-32.1236042,337.81,1956-07-27,,N,Y,N,N,N,Y,N,Y,SANTOS LIMITED,OEL 7,SI5304 PORT AUGUSTA,207.5,False,,,,,,,,,,,,,petroleum,1975-05-02,2.0
24902,WILKATANA 9,188000010,137.8295628,-32.1071319,372.77,1956-08-23,,N,Y,N,N,N,Y,N,N,SANTOS LIMITED,OEL 7,SI5304 PORT AUGUSTA,205.8,False,,,,,,,,,,,,,petroleum,1975-05-02,2.0
