drillhole_no,hole_name,lon_dd,lat_dd,max_depth_m,drill_date,purpose,hole_class,strat_units_top_to_base,deepest_logged_base_m,unit_at_deepest_base,has_strat_log,in_state_t0_1973,in_state_prerd1_1975,window_status
20625,ENGINE WELL NO.4,137.0752407,-31.0839454,39.62,1925-10-29,Water,N,,,,False,True,True,PROVISIONAL
20646,YELTACOWIE WELL,137.1243997,-31.4318134,10.67,1929-01-01,Water,N,,,,False,True,True,PROVISIONAL
18027,WORKS & HOUSING DEPT,136.9634637,-31.0831434,,1947-01-01,Water,N,,,,False,True,True,PROVISIONAL
20613,PHILLIP PONDS B.,137.0472207,-31.0196014,45.75,1947-01-01,Water,N,,,,False,True,True,PROVISIONAL
20614,PHILLIP PONDS B.,137.0511817,-31.0368014,60.1,1947-01-01,Water,N,,,,False,True,True,PROVISIONAL
20615,,137.0584777,-31.0024904,45.75,1947-01-01,Water,N,,,,False,True,True,PROVISIONAL
20617,,137.0538737,-31.0250954,60.1,1947-01-01,Water,N,,,,False,True,True,PROVISIONAL
20622,PHILLIP PONDS B.,137.0747927,-31.0594264,45.72,1947-01-01,Water,N,,,,False,True,True,PROVISIONAL
18023,PARADISE WELL,136.8230737,-31.0900794,57.0,1947-05-27,Water,N,,,,False,True,True,PROVISIONAL
18045,PHILLIP PONDS 2,136.8457887,-31.1733684,4.27,1947-05-27,Water,N,,,,False,True,True,PROVISIONAL
18046,PHILLIP PONDS 1,136.8417387,-31.1733824,10.06,1947-05-27,Water,N,,,,False,True,True,PROVISIONAL
18058,ROCKY WELL,136.9728517,-31.1973564,36.6,1947-05-27,Water,N,,,,False,True,True,PROVISIONAL
18059,MARCELLA WELL,136.9496917,-31.2243894,54.86,1947-05-27,Water,N,,,,False,True,True,PROVISIONAL
18060,LITTLE PINE WELL,136.9450167,-31.2472644,57.91,1947-05-27,Water,N,,,,False,True,True,PROVISIONAL
18061,THE PINES WELL,136.9496307,-31.2577394,57.91,1947-05-27,Water,N,,,,False,True,True,PROVISIONAL
20618,NORTH STN. WELL,137.0930167,-31.0001314,56.08,1947-05-27,Water,N,,,,False,True,True,PROVISIONAL
20626,BLUFF WELL,137.0550857,-31.1263054,27.43,1947-05-27,Water,N,,,,False,True,True,PROVISIONAL
20629,ELIZABETH WELL,137.1768377,-31.1787314,36.58,1947-05-27,Water,N,,,,False,True,True,PROVISIONAL
20632,STH BOSWORTH B,137.3439046,-31.1165994,12.19,1947-05-27,Water,N,,,,False,True,True,PROVISIONAL
20636,WELCOME WELL,137.0553407,-31.2860214,15.24,1947-05-27,Water,N,,,,False,True,True,PROVISIONAL
20648,HOUSE WELL,137.0428577,-31.4910764,18.29,1947-05-27,Water,N,,,,False,True,True,PROVISIONAL
20649,BELLAMY WELL,137.0723717,-31.4963284,24.38,1947-05-27,Water,N,,,,False,True,True,PROVISIONAL
18047,WORKS & HOUSING DEPT DD1,136.8368217,-31.1709344,7.92,1947-07-16,,Y,,,,False,True,True,PROVISIONAL
18054,PHILLIP PONDS W.,136.8495137,-31.1771764,214.58,1947-07-21,Water,N,,,,False,True,True,PROVISIONAL
18052,WORKS & HOUSING DEPT. DD2,136.8670917,-31.1618574,14.94,1947-07-29,,Y,,,,False,True,True,PROVISIONAL
17996,,136.7665907,-31.6900934,24.38,1947-08-01,Water,N,,,,False,True,True,PROVISIONAL
18063,PIMBA RS.BORE,136.8088707,-31.2512104,93.27,1947-08-01,Water,N,,,,False,True,True,PROVISIONAL
