drillhole_no,depth_from_m,depth_to_m,strat_unit,hole_name,drill_date
18057,0.0,3.9,Tertiary-Pleistocene rocks,WOOMERA 1,1958-05-30
18057,3.9,42.06,Bulldog Shale,WOOMERA 1,1958-05-30
18057,42.06,80.16,Corraberra Sandstone Member,WOOMERA 1,1958-05-30
18057,80.16,239.12,Tregolana Shale Member,WOOMERA 1,1958-05-30
18057,239.12,340.61,Whyalla Sandstone,WOOMERA 1,1958-05-30
18057,340.61,454.15,Tapley Hill Formation,WOOMERA 1,1958-05-30
18057,454.15,611.12,Pandurra Formation,WOOMERA 1,1958-05-30
18092,0.0,1.0,Quaternary rocks,VANGUARD 1,1982-11-20
18092,1.0,110.44,Tregolana Shale Member,VANGUARD 1,1982-11-20
18092,110.44,110.94,Nuccaleena Formation,VANGUARD 1,1982-11-20
18092,110.94,219.94,Whyalla Sandstone,VANGUARD 1,1982-11-20
18092,219.94,374.37,Tapley Hill Formation,VANGUARD 1,1982-11-20
18092,374.37,1067.47,Pandurra Formation,VANGUARD 1,1982-11-20
18092,1067.47,1096.0,Gawler Range Volcanics,VANGUARD 1,1982-11-20
18093,0.0,158.0,Simmens Quartzite Member,WJP1/WJD1,1980-05-28
18093,158.0,188.0,Corraberra Sandstone Member,WJP1/WJD1,1980-05-28
18093,188.0,342.3,Tregolana Shale Member,WJP1/WJD1,1980-05-28
18093,342.3,507.65,Whyalla Sandstone,WJP1/WJD1,1980-05-28
18093,507.65,755.95,Tapley Hill Formation,WJP1/WJD1,1980-05-28
18093,755.95,827.2,Pandurra Formation,WJP1/WJD1,1980-05-28
18093,827.2,861.6,Gawler Range Volcanics,WJP1/WJD1,1980-05-28
18093,861.6,1015.1,Palaeoproterozoic rocks,WJP1/WJD1,1980-05-28
20607,0.0,18.0,Tertiary-Pleistocene rocks,PRL 10 / SAR 5,1976-12-17
20607,18.0,50.0,Tregolana Shale Member,PRL 10 / SAR 5,1976-12-17
20607,50.0,84.0,Whyalla Sandstone,PRL 10 / SAR 5,1976-12-17
20607,84.0,96.0,Umberatana Group unit 2,PRL 10 / SAR 5,1976-12-17
20607,96.0,190.0,Tapley Hill Formation,PRL 10 / SAR 5,1976-12-17
20607,190.0,199.8,Pandurra Formation,PRL 10 / SAR 5,1976-12-17
20608,0.0,28.0,Tertiary-Pleistocene rocks,PRL 11 / SAR 6,1977-02-11
20608,28.0,60.0,Tregolana Shale Member,PRL 11 / SAR 6,1977-02-11
20608,60.0,106.0,Whyalla Sandstone,PRL 11 / SAR 6,1977-02-11
20608,106.0,216.4,Tapley Hill Formation,PRL 11 / SAR 6,1977-02-11
20608,216.4,243.2,Pandurra Formation,PRL 11 / SAR 6,1977-02-11
20611,0.0,16.0,Tertiary-Pleistocene rocks,PRL 23 / SAR 9,1982-03-01
20611,16.0,104.0,Tregolana Shale Member,PRL 23 / SAR 9,1982-03-01
20611,104.0,156.0,Umberatana Group unit 2,PRL 23 / SAR 9,1982-03-01
20611,156.0,329.0,Tapley Hill Formation,PRL 23 / SAR 9,1982-03-01
20611,329.0,393.5,Pandurra Formation,PRL 23 / SAR 9,1982-03-01
20611,393.5,858.1,Gawler Range Volcanics,PRL 23 / SAR 9,1982-03-01
20611,858.1,1246.0,Wandearah Formation,PRL 23 / SAR 9,1982-03-01
20680,0.0,8.0,Quaternary rocks,PEB 7,1975-12-31
20680,8.0,108.0,Tregolana Shale Member,PEB 7,1975-12-31
20680,108.0,118.0,Pandurra Formation,PEB 7,1975-12-31
20681,0.0,4.0,Quaternary rocks,PEB 8,1975-12-31
20681,4.0,94.0,Tregolana Shale Member,PEB 8,1975-12-31
20681,94.0,106.0,Pandurra Formation,PEB 8,1975-12-31
20682,0.0,4.0,Quaternary rocks,PEB 9,1975-12-31
20682,4.0,68.0,Tregolana Shale Member,PEB 9,1975-12-31
20682,68.0,118.0,Pandurra Formation,PEB 9,1975-12-31
20683,0.0,4.0,Quaternary rocks,PEB 14,1975-12-31
20683,4.0,64.0,Tregolana Shale Member,PEB 14,1975-12-31
20683,64.0,76.0,Pandurra Formation,PEB 14,1975-12-31
20684,0.0,70.0,Tregolana Shale Member,PEB 15,1975-12-31
20684,70.0,80.0,Pandurra Formation,PEB 15,1975-12-31
20685,0.0,4.0,Quaternary rocks,PEB 16,1975-12-31
20685,4.0,158.0,Tregolana Shale Member,PEB 16,1975-12-31
20685,158.0,166.0,Pandurra Formation,PEB 16,1975-12-31
20686,0.0,4.0,Quaternary rocks,PEB 17,1975-12-31
20686,4.0,112.0,Tregolana Shale Member,PEB 17,1975-12-31
20687,0.0,22.0,Holocene aeolian sediments,PEB 19,1975-12-31
20687,22.0,166.0,Tregolana Shale Member,PEB 19,1975-12-31
20704,0.0,10.0,Quaternary rocks,EC 43,1981-10-09
20704,10.0,129.0,Tregolana Shale Member,EC 43,1981-10-09
20704,129.0,132.0,Whyalla Sandstone,EC 43,1981-10-09
20704,132.0,146.0,Pandurra Formation,EC 43,1981-10-09
20704,146.0,159.0,Palaeoproterozoic-Mesoproterozoic rocks,EC 43,1981-10-09
20705,0.0,2.0,Quaternary rocks,EC 40,1981-12-04
20705,2.0,173.0,Tregolana Shale Member,EC 40,1981-12-04
20705,173.0,180.0,Whyalla Sandstone,EC 40,1981-12-04
20705,180.0,192.0,Thora Dolomite,EC 40,1981-12-04
20705,192.0,206.0,Tapley Hill Formation,EC 40,1981-12-04
20705,206.0,214.0,Thora Dolomite,EC 40,1981-12-04
20705,214.0,282.0,Tapley Hill Formation,EC 40,1981-12-04
20705,282.0,309.0,Woocalla Dolomite Member,EC 40,1981-12-04
20705,309.0,324.0,Tapley Hill Formation,EC 40,1981-12-04
20705,324.0,334.0,Pandurra Formation,EC 40,1981-12-04
20705,334.0,362.0,Pandurra Formation,EC 40,1981-12-04
20705,362.0,386.0,Gawler Range Volcanics,EC 40,1981-12-04
20705,386.0,400.5,Gawler Range Volcanics,EC 40,1981-12-04
20705,400.5,596.0,Gawler Range Volcanics,EC 40,1981-12-04
20707,0.0,4.0,Quaternary rocks,EC 48,1981-10-27
20707,4.0,154.0,Tregolana Shale Member,EC 48,1981-10-27
20707,154.0,174.0,Whyalla Sandstone,EC 48,1981-10-27
20707,174.0,198.0,Tapley Hill Formation,EC 48,1981-10-27
20707,198.0,256.0,Pandurra Formation,EC 48,1981-10-27
20707,256.0,272.0,Palaeoproterozoic-Mesoproterozoic rocks,EC 48,1981-10-27
20708,0.0,4.0,Quaternary rocks,EC 49,1981-10-18
20708,4.0,214.0,Tregolana Shale Member,EC 49,1981-10-18
20708,214.0,224.0,Pandurra Formation,EC 49,1981-10-18
20708,224.0,240.0,Palaeoproterozoic-Mesoproterozoic rocks,EC 49,1981-10-18
20709,0.0,14.0,Quaternary rocks,EC 51,1981-10-31
20709,14.0,22.0,Tertiary rocks,EC 51,1981-10-31
20709,22.0,166.0,Tregolana Shale Member,EC 51,1981-10-31
20709,166.0,174.0,Whyalla Sandstone,EC 51,1981-10-31
20709,174.0,176.0,Umberatana Group unit 2,EC 51,1981-10-31
20709,176.0,263.0,Tapley Hill Formation,EC 51,1981-10-31
20709,263.0,285.0,Pandurra Formation,EC 51,1981-10-31
20709,285.0,292.0,Gawler Range Volcanics,EC 51,1981-10-31
20710,0.0,11.0,Tertiary-Pleistocene rocks,EC 35,1980-10-01
20710,11.0,122.5,Tregolana Shale Member,EC 35,1980-10-01
20710,122.5,126.0,Whyalla Sandstone,EC 35,1980-10-01
20710,126.0,200.0,Pandurra Formation,EC 35,1980-10-01
20711,0.0,314.0,Pandurra Formation,EC 21,1980-03-23
20711,314.0,415.54,Pandurra Formation,EC 21,1980-03-23
20711,415.54,442.49,Pandurra Formation,EC 21,1980-03-23
20711,442.49,467.74,Pandurra Formation,EC 21,1980-03-23
20711,467.74,521.19,Pandurra Formation,EC 21,1980-03-23
20711,521.19,610.0,Gawler Range Volcanics,EC 21,1980-03-23
20711,610.0,792.28,Gawler Range Volcanics,EC 21,1980-03-23
20711,792.28,992.25,Wandearah Formation,EC 21,1980-03-23
20711,992.75,1002.0,Lincoln Complex,EC 21,1980-03-23
20712,0.0,3.9,Quaternary rocks,PY 1,1981-03-20
20712,3.9,39.8,Woocalla Dolomite Member,PY 1,1981-03-20
20712,39.8,679.65,Pandurra Formation,PY 1,1981-03-20
20712,679.65,1293.3,Gawler Range Volcanics,PY 1,1981-03-20
20713,0.0,3.0,no description,PY 2,1981-06-07
20713,3.0,565.43,Pandurra Formation,PY 2,1981-06-07
20713,565.43,926.6,Gawler Range Volcanics,PY 2,1981-06-07
20714,0.0,663.6,Pandurra Formation,PY 3,1981-10-03
20714,663.6,1288.3,Gawler Range Volcanics,PY 3,1981-10-03
20715,0.0,9.0,Quaternary rocks,PY 4,1983-01-17
20715,9.0,34.45,Tregolana Shale Member,PY 4,1983-01-17
20715,34.45,37.02,Whyalla Sandstone,PY 4,1983-01-17
20715,37.02,46.5,Woocalla Dolomite Member,PY 4,1983-01-17
20715,46.5,562.58,Pandurra Formation,PY 4,1983-01-17
20715,562.58,1015.0,Gawler Range Volcanics,PY 4,1983-01-17
20718,0.0,12.0,Tertiary-Pleistocene rocks,PRL 5 / SAR 4,1976-12-09
20718,12.0,197.5,Tregolana Shale Member,PRL 5 / SAR 4,1976-12-09
20718,197.5,219.4,Whyalla Sandstone,PRL 5 / SAR 4,1976-12-09
20718,219.4,295.7,Tapley Hill Formation,PRL 5 / SAR 4,1976-12-09
20718,295.7,333.4,Pandurra Formation,PRL 5 / SAR 4,1976-12-09
20719,0.0,4.0,Eocene-Quaternary silcrete,PRL 22,1979-07-23
20719,4.0,108.0,Tregolana Shale Member,PRL 22,1979-07-23
20719,108.0,140.0,Umberatana Group,PRL 22,1979-07-23
20719,140.0,252.0,Tapley Hill Formation,PRL 22,1979-07-23
20719,252.0,276.0,Gawler Range Volcanics,PRL 22,1979-07-23
20721,0.0,3.0,Quaternary rocks,HUD 1,1982-07-27
20721,3.0,40.0,Simmens Quartzite Member,HUD 1,1982-07-27
20721,40.0,64.0,Corraberra Sandstone Member,HUD 1,1982-07-27
20721,64.0,354.25,Tregolana Shale Member,HUD 1,1982-07-27
20721,354.25,375.6,Whyalla Sandstone,HUD 1,1982-07-27
20721,375.6,483.0,Gawler Range Volcanics,HUD 1,1982-07-27
20722,0.0,128.0,Simmens Quartzite Member,ASD 1,1981-07-07
20722,128.0,282.8,Tregolana Shale Member,ASD 1,1981-07-07
20722,282.8,283.68,Nuccaleena Formation,ASD 1,1981-07-07
20722,283.68,502.85,Whyalla Sandstone,ASD 1,1981-07-07
20722,502.85,506.46,Umberatana Group unit 2,ASD 1,1981-07-07
20722,506.46,522.84,Tapley Hill Formation,ASD 1,1981-07-07
20722,522.84,946.56,Pandurra Formation,ASD 1,1981-07-07
20722,946.56,1118.0,Palaeoproterozoic rocks,ASD 1,1981-07-07
20723,0.0,173.0,Simmens Quartzite Member,ASD 2,1984-03-04
20723,173.0,204.0,Corraberra Sandstone Member,ASD 2,1984-03-04
20723,204.0,395.7,Tregolana Shale Member,ASD 2,1984-03-04
20723,395.7,567.32,Whyalla Sandstone,ASD 2,1984-03-04
20723,567.32,802.32,Tapley Hill Formation,ASD 2,1984-03-04
20723,802.32,1023.87,Pandurra Formation,ASD 2,1984-03-04
20723,1023.87,1097.85,Palaeoproterozoic rocks,ASD 2,1984-03-04
20723,1097.85,1140.6,Mesoproterozoic rocks,ASD 2,1984-03-04
20723,1140.6,1148.4,Palaeoproterozoic rocks,ASD 2,1984-03-04
20724,0.0,64.0,Simmens Quartzite Member,AD8,1985-10-14
20724,64.0,80.0,Corraberra Sandstone Member,AD8,1985-10-14
20724,80.0,248.0,Tregolana Shale Member,AD8,1985-10-14
20724,248.0,362.0,Whyalla Sandstone,AD8,1985-10-14
20724,362.0,825.5,Pandurra Formation,AD8,1985-10-14
20724,825.5,837.07,Palaeoproterozoic rocks,AD8,1985-10-14
20724,837.07,842.12,Palaeoproterozoic rocks,AD8,1985-10-14
20724,842.12,897.0,Palaeoproterozoic rocks,AD8,1985-10-14
20724,897.0,903.35,Palaeoproterozoic rocks,AD8,1985-10-14
20724,903.35,1000.2,Palaeoproterozoic rocks,AD8,1985-10-14
20725,0.0,1.0,Quaternary rocks,HUD 2,1982-04-21
20725,1.0,70.0,Simmens Quartzite Member,HUD 2,1982-04-21
20725,70.0,96.0,Corraberra Sandstone Member,HUD 2,1982-04-21
20725,96.0,352.4,Tregolana Shale Member,HUD 2,1982-04-21
20725,352.4,368.0,Whyalla Sandstone,HUD 2,1982-04-21
20725,368.0,396.3,Gawler Range Volcanics,HUD 2,1982-04-21
20726,0.0,66.0,Simmens Quartzite Member,AD 2,1977-07-18
20726,66.0,213.0,Tregolana Shale Member,AD 2,1977-07-18
20726,213.0,213.49,Nuccaleena Formation,AD 2,1977-07-18
20726,213.49,341.58,Whyalla Sandstone,AD 2,1977-07-18
20726,341.58,812.52,Pandurra Formation,AD 2,1977-07-18
20726,812.52,829.0,Palaeoproterozoic rocks,AD 2,1977-07-18
139533,0.0,7.0,Tertiary-Pleistocene rocks,LY 4B,1983-12-07
139533,7.0,8.0,Whyalla Sandstone,LY 4B,1983-12-07
139533,8.0,13.0,Umberatana Group unit 2,LY 4B,1983-12-07
139533,13.0,150.0,Pandurra Formation,LY 4B,1983-12-07
139534,0.0,4.9,Tertiary-Pleistocene rocks,LY 5,1983-12-04
139534,4.9,6.6,Whyalla Sandstone,LY 5,1983-12-04
139534,6.6,12.0,Umberatana Group unit 2,LY 5,1983-12-04
139534,12.0,150.0,Pandurra Formation,LY 5,1983-12-04
139535,0.0,2.0,Tertiary-Pleistocene rocks,LY 6,1983-12-07
139535,2.0,12.0,Whyalla Sandstone,LY 6,1983-12-07
139535,12.0,18.5,Umberatana Group unit 2,LY 6,1983-12-07
139535,18.5,50.0,Pandurra Formation,LY 6,1983-12-07
