drillhole_no,hole_name,lon_dd,lat_dd,max_depth_m,drill_date,purpose,hole_class,strat_units_top_to_base,deepest_logged_base_m,unit_at_deepest_base,has_strat_log,in_state_t0_1973,in_state_prerd1_1975,window_status
20784,YARRA WURTA BORE,137.2361417,-30.1330884,65.23,1925-06-26,Water,N,,,,False,True,True,PROVISIONAL
16665,,136.3999698,-30.4153214,25.91,1927-04-21,Water,N,,,,False,True,True,PROVISIONAL
16664,,136.4477188,-30.3966764,32.08,1927-04-29,Water,N,Curdlawidny Siltstone Member,32.08,Curdlawidny Siltstone Member,True,True,True,PROVISIONAL
16659,,136.3196558,-30.3777314,35.71,1927-05-07,Water,N,,,,False,True,True,PROVISIONAL
16658,,136.3120618,-30.3754614,31.7,1927-05-09,Water,N,,,,False,True,True,PROVISIONAL
16652,,136.3320498,-30.1930494,48.77,1929-07-04,Water,N,,,,False,True,True,PROVISIONAL
16569,,136.3359158,-30.8927804,47.85,1934-03-01,Water,N,,,,False,True,True,PROVISIONAL
20793,FOUR CORNERS HUT,137.1634957,-30.4470654,12.8,1935-07-29,Water,N,,,,False,True,True,PROVISIONAL
20733,WIRRDA WELL 2,137.0751987,-30.6779394,51.82,1935-07-30,Water,N,,,,False,True,True,PROVISIONAL
20734,WIRRDA WELL,137.0722407,-30.6791934,36.58,1935-07-30,Water,N,,,,False,True,True,PROVISIONAL
16567,,136.4147058,-30.8701624,43.28,1935-10-09,Water,N,,,,False,True,True,PROVISIONAL
16612,,136.3223588,-30.5801484,55.17,1940-11-01,Water,N,,,,False,True,True,PROVISIONAL
16663,,136.4069688,-30.4061804,36.88,1940-12-01,Water,N,,,,False,True,True,PROVISIONAL
20760,,137.0308607,-30.8746544,4.88,1947-01-01,Water,N,,,,False,True,True,PROVISIONAL
18106,PHILLIPS RIDGE,136.9742847,-30.5525664,15.24,1947-08-22,Water,N,,,,False,True,True,PROVISIONAL
20736,YARLOO WELL,137.2565957,-30.6223884,31.7,1947-08-22,Water,N,,,,False,True,True,PROVISIONAL
20738,CENTENARY WELL,137.3061697,-30.7145684,20.73,1947-08-22,Water,N,,,,False,True,True,PROVISIONAL
20775,NORTH SWAMP WELL,137.1237257,-30.3669634,54.86,1947-08-22,Water,N,,,,False,True,True,PROVISIONAL
20790,STATION WELL,137.1626407,-30.4484424,15.24,1947-08-23,Water,N,,,,False,True,True,PROVISIONAL
20791,STATION WELL,137.1650197,-30.4477084,19.51,1947-08-23,Water,N,,,,False,True,True,PROVISIONAL
20744,WHIP WELL,137.1767037,-30.7559624,30.48,1947-08-25,Water,N,,,,False,True,True,PROVISIONAL
20758,OLD WHIP WELL,137.0954607,-30.9049894,30.48,1947-08-25,Water,N,,,,False,True,True,PROVISIONAL
20796,,137.1864797,-30.4407644,12.5,1948-02-27,Water,N,,,,False,True,True,PROVISIONAL
20797,BARNES NO2 BORE,137.1939607,-30.4336284,18.29,1948-03-10,Water,N,,,,False,True,True,PROVISIONAL
20795,GOUGERS NO2 WELL,137.1711107,-30.4491134,22.86,1948-04-24,Water,N,,,,False,True,True,PROVISIONAL
20794,GOUGERS NO1 WELL,137.1665057,-30.4476024,18.29,1948-05-26,Water,N,,,,False,True,True,PROVISIONAL
18115,,136.8270307,-30.8082114,65.53,1949-04-18,Water,N,,,,False,True,True,PROVISIONAL
18117,,136.8094317,-30.8345114,10.97,1949-04-22,Water,N,,,,False,True,True,PROVISIONAL
20739,MYALL WELL,137.3144467,-30.7376394,35.04,1949-06-07,Water,N,,,,False,True,True,PROVISIONAL
