drillhole_no,depth_from_m,depth_to_m,strat_unit,hole_name,drill_date
16574,0.0,2.4,Quaternary rocks,NOBLES BORE,1959-07-06
16574,2.4,14.9,Watchie Sandstone,NOBLES BORE,1959-07-06
16574,14.9,53.95,Andamooka Limestone,NOBLES BORE,1959-07-06
16575,0.0,1.2,Quaternary rocks,MARSHALL SWAMP BORE,1959-08-13
16575,1.2,10.7,Simmens Quartzite Member,MARSHALL SWAMP BORE,1959-08-13
16575,10.7,23.16,Corraberra Sandstone Member,MARSHALL SWAMP BORE,1959-08-13
16576,0.0,4.3,Quaternary rocks,KNOLL BORE,1959-09-01
16576,4.3,24.4,Simmens Quartzite Member,KNOLL BORE,1959-09-01
16576,24.4,42.67,Corraberra Sandstone Member,KNOLL BORE,1959-09-01
16588,0.0,4.6,Tertiary-Pleistocene rocks,MACS TANK NO.3 B,1965-05-27
16588,4.6,28.0,Simmens Quartzite Member,MACS TANK NO.3 B,1965-05-27
16588,28.0,46.0,Corraberra Sandstone Member,MACS TANK NO.3 B,1965-05-27
16588,46.0,47.24,no sample,MACS TANK NO.3 B,1965-05-27
16590,0.0,4.3,Quaternary rocks,MACS TANK NO.5 B,1965-07-09
16590,4.3,30.5,Simmens Quartzite Member,MACS TANK NO.5 B,1965-07-09
16590,30.5,46.33,Corraberra Sandstone Member,MACS TANK NO.5 B,1965-07-09
16626,0.0,5.0,Quaternary rocks,P-1,1976-01-01
16626,5.0,15.0,Watchie Sandstone,P-1,1976-01-01
16627,0.0,2.0,Quaternary rocks,P-2,1976-01-01
16627,2.0,5.0,Millers Creek Dolomite Member,P-2,1976-01-01
16627,5.0,10.0,Watchie Sandstone,P-2,1976-01-01
16627,10.0,25.0,Curdlawidny Siltstone Member,P-2,1976-01-01
16627,25.0,43.0,Andamooka Limestone,P-2,1976-01-01
16628,0.0,6.0,Millers Creek Dolomite Member,P-3,1976-01-01
16628,6.0,19.0,Watchie Sandstone,P-3,1976-01-01
16628,19.0,32.0,Curdlawidny Siltstone Member,P-3,1976-01-01
16628,32.0,34.0,Andamooka Limestone,P-3,1976-01-01
16629,0.0,4.0,Quaternary rocks,P-4,1976-01-01
16629,4.0,19.0,Watchie Sandstone,P-4,1976-01-01
16629,19.0,59.0,Andamooka Limestone,P-4,1976-01-01
16629,84.0,99.0,Simmens Quartzite Member,P-4,1976-01-01
16630,0.0,4.0,Quaternary rocks,P-5,1976-01-01
16630,4.0,24.0,Watchie Sandstone,P-5,1976-01-01
16630,24.0,50.0,Andamooka Limestone,P-5,1976-01-01
16631,0.0,16.0,Watchie Sandstone,P-6,1976-01-01
16631,16.0,45.0,Andamooka Limestone,P-6,1976-01-01
16631,45.0,50.0,Simmens Quartzite Member,P-6,1976-01-01
16637,0.0,9.0,Bulldog Shale,WB-01,1979-02-17
16637,9.0,52.0,Simmens Quartzite Member,WB-01,1979-02-17
16637,52.0,56.0,Corraberra Sandstone Member,WB-01,1979-02-17
16637,56.0,72.0,Tregolana Shale Member,WB-01,1979-02-17
16638,0.0,6.0,Quaternary rocks,SSR-1001,1983-05-23
16638,6.0,44.77,Simmens Quartzite Member,SSR-1001,1983-05-23
16638,44.77,63.69,Corraberra Sandstone Member,SSR-1001,1983-05-23
16638,63.69,215.76,Tregolana Shale Member,SSR-1001,1983-05-23
16638,215.76,240.95,Seacliff Sandstone,SSR-1001,1983-05-23
16638,240.95,241.52,Nuccaleena Formation,SSR-1001,1983-05-23
16638,241.52,242.52,Whyalla Sandstone,SSR-1001,1983-05-23
16638,242.52,258.5,Pandurra Formation,SSR-1001,1983-05-23
16638,258.5,300.0,Pandurra Formation,SSR-1001,1983-05-23
16638,300.0,307.6,Gairdner Dolerite,SSR-1001,1983-05-23
16638,307.6,328.4,Pandurra Formation,SSR-1001,1983-05-23
16638,328.4,423.65,Gairdner Dolerite,SSR-1001,1983-05-23
16638,423.65,432.0,Pandurra Formation,SSR-1001,1983-05-23
16638,432.0,434.25,Gairdner Dolerite,SSR-1001,1983-05-23
16638,434.25,499.5,Pandurra Formation,SSR-1001,1983-05-23
16664,0.0,32.08,Curdlawidny Siltstone Member,,1927-04-29
16670,0.0,2.4,Quaternary rocks,SOUTHERN CROSS B,1959-04-24
16670,2.4,6.4,Curdlawidny Siltstone Member,SOUTHERN CROSS B,1959-04-24
16670,6.4,38.71,Andamooka Limestone,SOUTHERN CROSS B,1959-04-24
16674,0.0,1.2,Quaternary rocks,RED LAKE BORE,1959-07-14
16674,1.2,15.8,Curdlawidny Siltstone Member,RED LAKE BORE,1959-07-14
16674,15.8,34.14,Andamooka Limestone,RED LAKE BORE,1959-07-14
16675,0.0,2.4,Quaternary rocks,HUMPS BORE,1959-07-24
16675,2.4,16.1,Curdlawidny Siltstone Member,HUMPS BORE,1959-07-24
16675,16.1,36.58,Andamooka Limestone,HUMPS BORE,1959-07-24
16699,0.0,32.7,Boorthanna Formation,PLAYFORD 1,1978-11-11
16699,32.7,155.14,Andamooka Limestone,PLAYFORD 1,1978-11-11
16699,155.14,437.79,Tregolana Shale Member,PLAYFORD 1,1978-11-11
16699,437.79,438.18,Nuccaleena Formation,PLAYFORD 1,1978-11-11
16699,438.18,442.41,Mesoproterozoic-Neoproterozoic rocks,PLAYFORD 1,1978-11-11
16699,442.41,586.0,Pandurra Formation,PLAYFORD 1,1978-11-11
16700,0.0,8.0,Quaternary rocks,PRE-1,1978-09-23
16700,8.0,50.0,Boorthanna Formation,PRE-1,1978-09-23
16700,50.0,130.0,Andamooka Limestone,PRE-1,1978-09-23
16700,130.0,178.0,Simmens Quartzite Member,PRE-1,1978-09-23
16700,178.0,190.0,Corraberra Sandstone Member,PRE-1,1978-09-23
16700,190.0,200.0,Tregolana Shale Member,PRE-1,1978-09-23
16701,0.0,22.0,Quaternary rocks,,1986-01-01
16701,22.0,40.0,Boorthanna Formation,,1986-01-01
16701,40.0,64.0,Andamooka Limestone,,1986-01-01
16705,0.0,1.5,Quaternary rocks,BKA01 DH9,1982-11-03
16705,1.5,129.0,Boorthanna Formation,BKA01 DH9,1982-11-03
16706,0.0,3.0,Quaternary rocks,BKA01 DH10,1982-11-03
16706,3.0,138.0,Boorthanna Formation,BKA01 DH10,1982-11-03
16706,138.0,138.5,Andamooka Limestone,BKA01 DH10,1982-11-03
16707,0.0,4.5,Quaternary rocks,BKA01 DH11,1982-11-05
16707,4.5,69.0,Boorthanna Formation,BKA01 DH11,1982-11-05
16709,0.0,11.0,no description,AUGER HOLE,1983-01-01
18159,0.0,122.0,Simmens Quartzite Member,CSD 1,1980-08-21
18159,122.0,128.0,Corraberra Sandstone Member,CSD 1,1980-08-21
18159,128.0,348.6,Tregolana Shale Member,CSD 1,1980-08-21
18159,348.6,352.8,Whyalla Sandstone,CSD 1,1980-08-21
18159,352.8,399.3,Woocalla Dolomite Member,CSD 1,1980-08-21
18159,399.3,864.95,Pandurra Formation,CSD 1,1980-08-21
18159,864.95,994.2,Palaeoproterozoic rocks,CSD 1,1980-08-21
18160,0.0,4.0,Quaternary rocks,HHD 1 (HHD 1 W1) 1,1981-01-13
18160,4.0,10.0,Tertiary rocks,HHD 1 (HHD 1 W1) 1,1981-01-13
18160,10.0,22.0,Yarrawurta Shale,HHD 1 (HHD 1 W1) 1,1981-01-13
18160,22.0,138.0,Simmens Quartzite Member,HHD 1 (HHD 1 W1) 1,1981-01-13
18160,138.0,361.1,Tregolana Shale Member,HHD 1 (HHD 1 W1) 1,1981-01-13
18160,361.1,1132.8,Pandurra Formation,HHD 1 (HHD 1 W1) 1,1981-01-13
18160,1132.8,1186.2,Hutchison Group,HHD 1 (HHD 1 W1) 1,1981-01-13
18162,0.0,4.0,Quaternary rocks,TWN 2,1981-06-14
18162,4.0,20.0,Andamooka Limestone,TWN 2,1981-06-14
18162,20.0,154.0,Corraberra Sandstone Member,TWN 2,1981-06-14
18162,154.0,293.3,Tregolana Shale Member,TWN 2,1981-06-14
18162,293.3,294.5,Nuccaleena Formation,TWN 2,1981-06-14
18162,294.5,303.4,Umberatana Group unit 2,TWN 2,1981-06-14
18162,303.4,545.6,Wirrda Subsuite,TWN 2,1981-06-14
18164,0.0,4.0,Quaternary rocks,HHD 2,1982-04-21
18164,4.0,8.0,Tertiary-Pleistocene rocks,HHD 2,1982-04-21
18164,8.0,156.0,Simmens Quartzite Member,HHD 2,1982-04-21
18164,156.0,328.0,Tregolana Shale Member,HHD 2,1982-04-21
18164,328.0,364.0,Pandurra Formation,HHD 2,1982-04-21
18165,0.0,6.0,Quaternary rocks,CRD 1,1980-07-01
18165,6.0,118.0,Simmens Quartzite Member,CRD 1,1980-07-01
18166,0.0,40.0,Andamooka Limestone,ACD 1,1980-01-24
18166,40.0,172.0,Simmens Quartzite Member,ACD 1,1980-01-24
18166,172.0,200.5,Corraberra Sandstone Member,ACD 1,1980-01-24
18166,200.5,411.37,Tregolana Shale Member,ACD 1,1980-01-24
18166,411.37,412.9,Nuccaleena Formation,ACD 1,1980-01-24
18166,412.9,718.95,Pandurra Formation,ACD 1,1980-01-24
18166,718.95,1097.6,Palaeoproterozoic-Mesoproterozoic rocks,ACD 1,1980-01-24
18167,0.0,2.0,Quaternary rocks,ACD 2,1981-04-13
18167,2.0,27.0,Andamooka Limestone,ACD 2,1981-04-13
18167,27.0,162.0,Simmens Quartzite Member,ACD 2,1981-04-13
18167,162.0,180.0,Corraberra Sandstone Member,ACD 2,1981-04-13
18167,180.0,402.55,Tregolana Shale Member,ACD 2,1981-04-13
18167,402.55,431.9,Pandurra Formation,ACD 2,1981-04-13
18167,431.9,915.0,Palaeoproterozoic-Mesoproterozoic rocks,ACD 2,1981-04-13
18168,0.0,18.0,Quaternary rocks,ACD 4,1981-08-27
18168,18.0,60.0,Andamooka Limestone,ACD 4,1981-08-27
18168,60.0,212.0,Simmens Quartzite Member,ACD 4,1981-08-27
18168,212.0,222.0,Corraberra Sandstone Member,ACD 4,1981-08-27
18168,222.0,457.05,Tregolana Shale Member,ACD 4,1981-08-27
18168,457.05,458.4,Nuccaleena Formation,ACD 4,1981-08-27
18168,458.4,486.1,Tapley Hill Formation,ACD 4,1981-08-27
18168,486.1,576.25,Pandurra Formation,ACD 4,1981-08-27
18168,576.25,848.0,Palaeoproterozoic-Mesoproterozoic rocks,ACD 4,1981-08-27
18170,0.0,15.0,Quaternary rocks,ACD 7,1982-06-22
18170,15.0,44.0,Andamooka Limestone,ACD 7,1982-06-22
18170,44.0,194.0,Simmens Quartzite Member,ACD 7,1982-06-22
18170,194.0,202.0,Corraberra Sandstone Member,ACD 7,1982-06-22
18170,202.0,421.75,Tregolana Shale Member,ACD 7,1982-06-22
18170,421.75,423.9,Nuccaleena Formation,ACD 7,1982-06-22
18170,423.9,448.9,Tapley Hill Formation,ACD 7,1982-06-22
18170,448.9,464.3,Pandurra Formation,ACD 7,1982-06-22
18170,464.3,978.8,Palaeoproterozoic-Mesoproterozoic rocks,ACD 7,1982-06-22
18171,0.0,10.0,Quaternary rocks,ACD 9,1982-10-06
18171,10.0,41.0,Andamooka Limestone,ACD 9,1982-10-06
18171,41.0,156.0,Simmens Quartzite Member,ACD 9,1982-10-06
