record,sheet,edition,title,catalogue_url,source_url,local_path,bytes,expected_bytes,sha256,retrieved,status
2018d055884,SH 53-12 ANDAMOOKA,1st edition,Andamooka 250K 1st Edition Sheet SH 53-12 Geological map,https://catalog.sarig.sa.gov.au/dataset/2018d055884,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/4008632/Andamooka_250K_1st_Edition_0002.pdf,01_data\wp1_data\database\reports\maps_250k\2018d055884\Andamooka_250K_1st_Edition_0002.pdf,12162027,12162027,7d69c532d11054238429c99fc36db3892512603a4f877adb0edf047095966467,2026-09-10 12:59:02,ok
2018d042748,SH 53-12 ANDAMOOKA,2nd edition,Andamooka 250K 2nd Edition Sheet SH 53-12 Geological map,https://catalog.sarig.sa.gov.au/dataset/2018d042748,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/3959411/Andamooka_250k_pub.pdf,01_data\wp1_data\database\reports\maps_250k\2018d042748\Andamooka_250k_pub.pdf,41606997,41606997,8ee9bcdc13e570cf461fb95e05aec6440fae2cb2faffcd5883ebf670be392419,2026-09-10 12:59:57,ok
mesac1311,SH 53-12 ANDAMOOKA,digital edition,Andamooka 250K Sheet SH 53-12 Geological map (Digital Edition),https://catalog.sarig.sa.gov.au/dataset/mesac1311,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/6010856/SH5312-Andamooka.pdf,01_data\wp1_data\database\reports\maps_250k\mesac1311\SH5312-Andamooka.pdf,8924533,8924533,bf8c16841e8959be2f66190b99c11520f6b88e86b4e9439d01385f48ac2220eb,2026-09-10 13:00:08,ok
2018d055885,SH 53-16 TORRENS,1st edition,Torrens 250K 1st Edition Sheet SH 53-16 Geological map,https://catalog.sarig.sa.gov.au/dataset/2018d055885,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/4008634/Torrens_250K_1st_Edition_0001.pdf,01_data\wp1_data\database\reports\maps_250k\2018d055885\Torrens_250K_1st_Edition_0001.pdf,11158010,11158010,9deef4fbbeb2352167281146653abb1fd06a7fb35326980409a9a81e227fd131,2026-09-10 13:00:24,ok
2018d048840,SH 53-16 TORRENS,2nd edition,Torrens 250K 2nd Edition Sheet SH 53-16 Geological map,https://catalog.sarig.sa.gov.au/dataset/2018d048840,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/3983159/Torrens_2249.pdf,01_data\wp1_data\database\reports\maps_250k\2018d048840\Torrens_2249.pdf,7079807,7079807,3097c2be48df0046d2ddbddff78baa4fa68551c64071f3993fbc0434a5853bee,2026-09-10 13:00:35,ok
mesac1315,SH 53-16 TORRENS,digital edition,Torrens 250K Sheet SH 53-16 Geological map (Digital Edition),https://catalog.sarig.sa.gov.au/dataset/mesac1315,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/6010861/SH5316-Torrens.pdf,01_data\wp1_data\database\reports\maps_250k\mesac1315\SH5316-Torrens.pdf,7311368,7311368,66aab6dbbd530452adbf6619522b2d6e3c18729805f1bd8d5e218da9a9b6a43e,2026-09-10 13:00:47,ok
2018d055884,SH 53-12 ANDAMOOKA,1st edition,Andamooka 250K 1st Edition Sheet SH 53-12 Geological map,https://catalog.sarig.sa.gov.au/dataset/2018d055884,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/4008632/Andamooka_250K_1st_Edition_0002.pdf,01_data\wp1_data\database\reports\maps_250k\2018d055884\Andamooka_250K_1st_Edition_0002.pdf,12162027,12162027,7d69c532d11054238429c99fc36db3892512603a4f877adb0edf047095966467,2026-09-21 09:57:22,already on disk
2018d042748,SH 53-12 ANDAMOOKA,2nd edition,Andamooka 250K 2nd Edition Sheet SH 53-12 Geological map,https://catalog.sarig.sa.gov.au/dataset/2018d042748,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/3959411/Andamooka_250k_pub.pdf,01_data\wp1_data\database\reports\maps_250k\2018d042748\Andamooka_250k_pub.pdf,41606997,41606997,8ee9bcdc13e570cf461fb95e05aec6440fae2cb2faffcd5883ebf670be392419,2026-09-21 09:57:22,already on disk
mesac1311,SH 53-12 ANDAMOOKA,digital edition,Andamooka 250K Sheet SH 53-12 Geological map (Digital Edition),https://catalog.sarig.sa.gov.au/dataset/mesac1311,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/6010856/SH5312-Andamooka.pdf,01_data\wp1_data\database\reports\maps_250k\mesac1311\SH5312-Andamooka.pdf,8924533,8924533,bf8c16841e8959be2f66190b99c11520f6b88e86b4e9439d01385f48ac2220eb,2026-09-21 09:57:22,already on disk
2018d055885,SH 53-16 TORRENS,1st edition,Torrens 250K 1st Edition Sheet SH 53-16 Geological map,https://catalog.sarig.sa.gov.au/dataset/2018d055885,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/4008634/Torrens_250K_1st_Edition_0001.pdf,01_data\wp1_data\database\reports\maps_250k\2018d055885\Torrens_250K_1st_Edition_0001.pdf,11158010,11158010,9deef4fbbeb2352167281146653abb1fd06a7fb35326980409a9a81e227fd131,2026-09-21 09:57:22,already on disk
