file,bytes,image_w,image_h,world_file,source_zip,zip_sha256,retrieved
extracted\O'Driscoll Index.xlsx,20681,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\O'Driscoll Lineament Maps metadata.docx,68361,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD11_i_agd66_amg_Z51.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD11_i_agd66_amg_Z51.jpg,5324712,6307,4526,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD11_i_agd66_amg_Z51.jpg.aux.xml,7602,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD11_i_agd66_amg_Z51.jpg.xml,6357,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD11_i_agd66_amg_Z51.TAB,397,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD12_vii_agd66_amg_Z54.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD12_vii_agd66_amg_Z54.jpg,8223257,7666,5258,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD12_vii_agd66_amg_Z54.jpg.aux.xml,7881,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD12_vii_agd66_amg_Z54.TAB,401,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD12_viii_agd66_amg_Z54.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD12_viii_agd66_amg_Z54.jpg,4070874,4682,5856,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD12_viii_agd66_amg_Z54.jpg.aux.xml,7439,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD12_viii_agd66_amg_Z54.TAB,402,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD12_xix_agd66_amg_Z54.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD12_xix_agd66_amg_Z54.jpg,3978812,7004,4771,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD12_xix_agd66_amg_Z54.jpg.aux.xml,7320,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD12_xix_agd66_amg_Z54.TAB,401,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD12_xxi_agd66_amg_Z54.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD12_xxi_agd66_amg_Z54.jpg,8477856,5633,8596,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD12_xxi_agd66_amg_Z54.jpg.aux.xml,7908,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD12_xxi_agd66_amg_Z54.TAB,400,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD12_xxii_agd66_amg_Z54.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD12_xxii_agd66_amg_Z54.jpg,5101794,5599,8649,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD12_xxii_agd66_amg_Z54.jpg.aux.xml,7541,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
