Proj No,Plan No,Scale,Sheet Name,Geology,Magnetics,Gravity,Photo tracks,Targets,Line interps,Notes,Tasman Notes,file,stuart_shelf_window
OD4,iii,250000,Andamooka,Survey,,,,Y,Y,,Tectonic targets 1974,OD4_iii_agd66_amg_Z53.jpg,True
OD4,iv,250000,Andamooka,,,,Y,Y,Y,,Phot lins plus targets 1974,OD4_iv_agd66_amg_Z53.jpg,True
OD4,ix,250000,Andamooka,,,Survey,,,,,No interps,OD4_ix_agd66_amg_Z53.jpg,True
OD4,v,250000,Andamooka,,Interp,,,,,,Rutter Targets plus others 1974?,OD4_v_agd66_amg_Z53.jpg,True
OD4,vii,250000,Andamooka,,,,Y,Y,Y,,"Chicken tracks, And Ring, targets",OD4_vii_agd66_amg_Z53.jpg,True
OD4,xiv,250000,Andamooka,,,,,Y,,,Tectonic Targets LA Burgess 1974,OD4_xiv_agd66_amg_Z53.jpg,True
OD4,xvi,250000,Andamooka,Survey,,,,Y,Y,,Linears and circ targets,OD4_xvi_agd66_amg_Z53.jpg,True
OD4,xvii,250000,Andamooka,,Contours,,,Y,Y,,Some linears/targets,OD4_xvii_agd66_amg_Z53.jpg,True
OD4,xxiii,250000,Andamooka,,,,Y,,Y,,"G2 gravity, OD",OD4_xxiii_agd66_amg_Z53.jpg,True
OD4,xxx,250000,Andamooka/Torrens,,,,,Y,Y,,Tectonic targets DMcP D,OD4_xxx_agd66_amg_Z53.jpg,True
OD4,xxxi,250000,Andamooka/Torrens,,,,Y,,Y,,,OD4_xxxi_agd66_amg_Z53.jpg,True
OD4,xxxii,250000,Andamooka,,,,Y,Y,Y,,,OD4_xxxii_agd66_amg_Z53.jpg,True
OD5,iii,250000,Torrens,,,,Y,Y,Y,,,OD5_iii_agd66_amg_Z53.jpg,True
OD5,ix,250000,Torrens,,,,Y,,Y,,,OD5_ix_agd66_amg_Z53.jpg,True
OD5,xi,250000,Torrens,Survey,,,,Y,Y,,,OD5_xi_agd66_amg_Z53.jpg,True
OD5,xvi,250000,Torrens,Survey,,Contours,,,,,,OD5_xvi_agd66_amg_Z53.jpg,True
