level,piece,record,title,catalogue_date,catalogue_url,source_url,local_path,bytes,expected_bytes,sha256,retrieved,status
level2,roopena_mapping,2019d011394,"Roopena 1 Mile geological map (Port Augusta 250k); Miles, Johns and Solomon",1952,https://catalog.sarig.sa.gov.au/dataset/2019d011394,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/4055141/Roopena%201%20Mile%20geological%20map%20%28Port%20Augusta%20250k%29.PDF,01_data\wp1_data\database\reports\annexA_sources\2019d011394\Roopena 1 Mile geological map (Port Augusta 250k).PDF,5016794,5016794,7e6cb190612b6258f87e570f074cefd18467f2540ce317bc97cfdf4b06f4aea6,2026-09-21 11:00:09,ok
level2,roopena_mapping,rb6700081,RB 67/00081 Geophysical report no. 1 on a gravity and magnetic survey of the Roopena Volcanics; Risely,1967 (published 1968),https://catalog.sarig.sa.gov.au/dataset/rb6700081,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/4352688/RB6700081.pdf,01_data\wp1_data\database\reports\annexA_sources\rb6700081\RB6700081.pdf,1928832,1928832,524f5fd8ca73957e98835fa5ba9e03035b10ded509a64e4c789ef0d87e1a5e43,2026-09-21 11:00:13,ok
level2,roopena_mapping,mesac3667,"Summary report on the Roopena area, SML 204 (BHP; Jones; Env 01174 pp. 229-284)",c. 1970 (covers 1967 drilling and early-1970 work) [CHECK on the title page],https://catalog.sarig.sa.gov.au/dataset/mesac3667,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/5942689/ENV01174.pdf,01_data\wp1_data\database\reports\annexA_sources\mesac3667\ENV01174.pdf,32107669,42811009,2144a274c134cb83a5bdc9a538569eb9e301a5ca9905d0675cd07cf55ab0f046,2026-09-21 11:00:59,size differs from catalogue
level2,roopena_mapping,2018d048833,"PORT AUGUSTA SI 53-04 1:250,000 geological map",1968,https://catalog.sarig.sa.gov.au/dataset/2018d048833,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/3983148/Port%20Augusta%20250K%20Sheet%20SI%2053-04%20Geological%20map%28rev%201%29.PDF,01_data\wp1_data\database\reports\annexA_sources\2018d048833\Port Augusta 250K Sheet SI 53-04 Geological map(rev 1).PDF,8283934,8283934,bf8a84b37eedd5bf5b6273372c1a2346fd2f126f4c85e23a38a35d217c508d64,2026-09-21 11:01:08,ok
level2,roopena_mapping,2019d011394,"Roopena 1 Mile geological map (Port Augusta 250k); Miles, Johns and Solomon",1952,https://catalog.sarig.sa.gov.au/dataset/2019d011394,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/4055141/Roopena%201%20Mile%20geological%20map%20%28Port%20Augusta%20250k%29.PDF,01_data\wp1_data\database\reports\annexA_sources\2019d011394\Roopena 1 Mile geological map (Port Augusta 250k).PDF,5016794,5016794,7e6cb190612b6258f87e570f074cefd18467f2540ce317bc97cfdf4b06f4aea6,2026-09-21 12:03:35,already on disk
level2,roopena_mapping,rb6700081,RB 67/00081 Geophysical report no. 1 on a gravity and magnetic survey of the Roopena Volcanics; Risely,1 Nov 1968 (title page),https://catalog.sarig.sa.gov.au/dataset/rb6700081,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/4352688/RB6700081.pdf,01_data\wp1_data\database\reports\annexA_sources\rb6700081\RB6700081.pdf,1928832,1928832,524f5fd8ca73957e98835fa5ba9e03035b10ded509a64e4c789ef0d87e1a5e43,2026-09-21 12:03:35,already on disk
level2,roopena_mapping,mesac3667,"Summary report on the Roopena area, SML 204 (BHP; Jones; Env 01174 pp. 229-284)","July 1970 (title page, PDF p. 229); envelope cover dated 8/11/1977 = open-file release, after t0",https://catalog.sarig.sa.gov.au/dataset/mesac3667,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/5942689/ENV01174.pdf,01_data\wp1_data\database\reports\annexA_sources\mesac3667\ENV01174.pdf,32107669,32107669,2144a274c134cb83a5bdc9a538569eb9e301a5ca9905d0675cd07cf55ab0f046,2026-09-21 12:03:35,already on disk
level2,roopena_mapping,2018d048833,"PORT AUGUSTA SI 53-04 1:250,000 geological map",1968,https://catalog.sarig.sa.gov.au/dataset/2018d048833,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/3983148/Port%20Augusta%20250K%20Sheet%20SI%2053-04%20Geological%20map%28rev%201%29.PDF,01_data\wp1_data\database\reports\annexA_sources\2018d048833\Port Augusta 250K Sheet SI 53-04 Geological map(rev 1).PDF,8283934,8283934,bf8a84b37eedd5bf5b6273372c1a2346fd2f126f4c85e23a38a35d217c508d64,2026-09-21 12:03:35,already on disk
level3,bore_facies_descriptions,mesac31461,Mount Gunson. Progress reports for the period from 7/12/1972 to 6/12/1973 (Env 02187),1972-1973 (title),https://catalog.sarig.sa.gov.au/dataset/mesac31461,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/5942275/ENV02187.pdf,01_data\wp1_data\database\reports\annexA_sources\mesac31461\ENV02187.pdf,331717143,331717143,f8865fe1f13771a47355248c98802bfa2c015dc1ba8801a1684b25d5976b91b2,2026-09-21 12:10:46,ok
level3,bore_facies_descriptions,mesac31894,"Petrography of the pre-Tent Hill Formation interval cored in DDH PL32, Mount Gunson; with LY2 Pandurra petrography, mesac31892 (Env 03026)",undated in harvest; date from catalogue query,https://catalog.sarig.sa.gov.au/dataset/mesac31894,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/5933955/ENV03026.pdf,01_data\wp1_data\database\reports\annexA_sources\mesac31894\ENV03026.pdf,143054453,143054453,c31e9d25b60bfa39b67c712548d64926c76c0119532d22266847a30908da39d6,2026-09-21 12:13:52,ok
