article_id,title,matches_pattern
3286,Publications spéciales = special publications,False
3443,"Gisements stratiformes et provinces cuprifères [Title],  Centenaire de la Société Géologique de Belgique, Liège, 9-13 septembre 1974",False
3452,Table des matières,False
3454,Avant-propos,False
3447,Low temperature copper geochemistry: gitological aspects,False
3449,"Les gisements de schistes, marnes et grès cuprifères",False
3462,Geological background to the copper-bearing strata of southern Shaba (Zaïre),False
3465,"Stratigraphie, tectonique et minéralisations dans l'arc cuprifère du Shaba (République du Zaïre)",False
3470,"Minéralisations cupro-cobaltifères associées aux horizons pyroclastiques situés dans le faisceau supérieur de la série de Roan, à Shituru, Shaba, Zaïre",True
3472,"Géologie et géochimie du gisement de Kipushi, Zaïre",False
3478,"Minéralogie du gisement de Kipushi, Shaba, Zaïre",False
3482,Paragenèse des sulfures de cuivre dans les gisements du Shaba (Zaïre) : I. Kipushi ; II. Kamoto,False
3485,"On the diagenetic formation of ores in sedimentary beds, with special reference to Kamoto, Shaba, Zaïre",False
3486,Stratigraphy of copper occurrences in the Zambian Copperbelt,True
3494,Some aspects of the stratiform ore deposits of the Zambian Copperbelt and their genetic significance,True
3498,"Sedimentary geology of a late Precambrian copper deposit at Kitwe, Zambia",True
3502,"Les sulfures du gisement cuprifère stratiforme de Musoshi, Shaba, Zaïre",False
3505,The Timna copper deposit,False
3510,Aperçu sur la province pyriteuse sud-ibérique,False
3514,"The copper province of northern Michigan, U.S.A.",True
3517,"Structures sédimentaires et minéralisation dans le gîte de Talate n'Ouamane, Anti-Atlas occidental, Maroc",False
3519,Géologie et métallogénie des gisements stratiformes de cuivre (grès cuivreux) du Kazakhstan Central d'après l'exemple du Djezkazgan,False
3525,"Copper mineralization in miogeosynclinal clastics of the Belt Supergroup, northwestern United States",False
3591,A synopsis of Canadian stratiform copper deposits in sedimentary sequences,True
3593,Permian copper shales of southwestern United States,True
3595,The Kupferschiefer in comparison with the deposits of the Zambian Copperbelt,True
3597,The gitology of some Adelaidean stratiform copper occurrences,True
3605,[Back cover],False
3289,"Prodrome d’une description géologique de la Belgique, 1954",False
3607,"La géologie de l'ingénieur - Centenaire de la Société géologique de Belgique, 1974",False
3672,"Géologie des domaines cristallins - Centenaire de la Société géologique de Belgique, 1974",False
3753,"L'évolution quaternaire des bassins fluviaux de la Mer du Nord méridionale - Centenaire de la Société Géologique de Belgique, 1974",False
6179,"Relais géologiques - Centenaire de la Société Géologique de Belgique, 1974",False
3811,"Bibliographie géologique de l'Afrique centrale, 1937",False
4793,"Bibliographie géologique du Bassin du Congo, 1916",False
4327,"La géologie & la reconnaissance du terrain houiller du Nord de la Belgique, 1904",False
5929,"Catalogue des ouvrages de géologie, de minéralogie et de paléontologie ainsi que des cartes géologiques qui se trouvent dans les principales bibliothèques de Belgique, 1884",False
4153,Mémoires in-4°,False
4246,Tome 1 (1900 - 1908) : liber memorialis du XXVe anniversaire de la fondation de la Société géologique de Belgique,False
4250,Tome 2 (1904 - 1910),False
6189,Fasciule 1,False
6190,Fascicule 2,False
4155,Tome 3 (1911 - 1912),False
4156,Fascicule 1,False
4157,Fascicule 2,False
4251,Tome 4 (1922 - 1923),False
4279,Fascicule 1,False
4280,Fascicule 2,False
4252,"Tome 5 (1924 - 1925) : livre jubilaire du 50e anniversaire de la Société, 1874 - 1924",False
5392,Volume 1 - fascicule 1,False
4257,Volume 3,False
4253,Tome 6 (1925 - 1926),False
4256,Tome 9 (1951),False
4242,Tome 10 (1966 - 1967),False
2174,Volume 120 (1997),False
2175,Fascicule 1,False
2197,Fascicule 2,False
2117,Volume 119 (1996),False
2118,Fascicule 1,False
2149,Fascicule 2,False
2080,Volume 118 (1995),False
2081,Fascicule 1 - Evolution du paysage de l'Euregio Meuse-Rhin : Hommage à Maurice Streel,False
2087,Fascicule 2,False
1952,Volume 117 (1994),False
1953,Fascicule 1 - Stratigraphie du Paléozoïque : Hommage à Maurice Streel,False
2043,Fascicule 2 - Stratigraphie du Mésozoïque et du Cénozoïque : Hommage à Maurice Streel,False
1818,Volume 116 (1993),False
1819,Fascicule 1,False
1875,Fascicule 2 - Carboniferous biostratigraphy,False
1496,Volume 115 (1992),False
1497,Fascicule 1,False
1679,Fascicule 2 - Devonian-Carboniferous boundary,False
