name,title,env,p_from,p_to,notes,queries,resource_urls,abstract,author,author_email,citation,contact_name,contributor,coordinateReferenceSystem,creator_user_id,distributor_contact,geojsonextent,id,isopen,language,license_id,license_title,license_url,lineage,maintainer,maintainer_email,maintenancefrequencycode,mer-doc-types,mer-scope-codes,mer-topic-categories,mer-work-statuses,metadataStandardName,metadata_created,metadata_modified,mine_name,num_resources,num_tags,operator,other,owner_org,private,publication_date,purpose,record_no,spatial,sponsor,state,tenement_holder,type,url,use_constraints,version
2019d008046,RB 06/00297 Mount Gunson copper mine.,,,,"Geographic Locality: Mount Gunson
Doc No: RB 06/00297","""Mount Gunson""",https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/4045723/RB 06 00297 Mount Gunson copper mine.PDF,There is no abstract created for this record,"Ward, L.K.",,"Ward, L.K. 1919. RB 06/00297 Mount Gunson copper mine. Departmental Publication - Geological Survey Geoscience Publication. Government of South Australia.","Department for Energy and Mining
Level 4, 11 Waymouth Street
Adelaide, South Australia 5000
Point of contact: [dem.sarig@sa.gov.au](mailto:dem.sarig@sa.gov.au?subject=SARIG catalogue)",,GDA2020 (EPSG:7844),40e4691d-d373-4a90-95c8-134c25d86907,"Department for Energy and Mining
Level 4, 11 Waymouth Street
Adelaide, South Australia 5000
Geological Survey of South Australia
Custodian: [dem.sarig@sa.gov.au](mailto:dem.sarig@sa.gov.au?subject=SARIG catalogue)","{""type"":""MultiPolygon"",""coordinates"":[[[[129,-39],[141,-39],[141,-26],[129,-26],[129,-39]]]]}",dd9a07f5-c960-4b8d-a99c-9fce8755242b,True,English,CC-BY-4.0,Creative Commons Attribution 4.0,https://creativecommons.org/licenses/by/4.0/,,,,,https://linked.data.gov.au/def/mer-doc-types/geological-survey-geoscience-publication,http://def.isotc211.org/iso19115/-1/2014/CommonClasses/code/MD_ScopeCode/document,http://def.isotc211.org/iso19115/-1/2014/IdentificationInformation/code/MD_TopicCategoryCode/geoscientificInformation,,ISO 19115-3,2024-11-17T08:03:57.212882,2025-07-16T07:12:56.525691,,1,0,,,ba341289-6ddd-4749-81cf-385795e6ca0e,False,07/05/1919,,2019d008046,"{""type"":""Polygon"",""coordinates"":[[[129,-39],[141,-39],[141,-26],[129,-26],[129,-39]]]}",,active,,document,,License,
rb7800067,RB 78/00067 Mount Gunson copper mine groundwater investigations.,,,,"Geographic Locality: Mount Gunson
Doc No: RB 78/00067","""Mount Gunson""; ""Stuart Shelf""",https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/4354679/RB7800067.pdf,"A proposed increase in tonnage treated by the Mill at Mt. Gunson Copper Mine will require an increase in withdrawal from the well field from the present level of approximately 4 000 gph, (18.'2 m5 p.h.) to 9 000 gph (41.0 m p.h.). Careful management of the existing wells with possible drilling of new wells should provide a reliable supply of water for the duration of the life of the Mine estimated for the purpose of this study at 8 years from January 1978.","Armstrong, D.;Beal, J.C.",,"Armstrong, D.;Beal, J.C. 1978. RB 78/00067 Mount Gunson copper mine groundwater investigations. Departmental Publication - Hydrogeological Publication. Government of South Australia.","Department for Energy and Mining
Level 4, 11 Waymouth Street
Adelaide, South Australia 5000
Point of contact: [dem.sarig@sa.gov.au](mailto:dem.sarig@sa.gov.au?subject=SARIG catalogue)",,GDA2020 (EPSG:7844),40e4691d-d373-4a90-95c8-134c25d86907,"Department for Energy and Mining
Level 4, 11 Waymouth Street
Adelaide, South Australia 5000
Geological Survey of South Australia
Custodian: [dem.sarig@sa.gov.au](mailto:dem.sarig@sa.gov.au?subject=SARIG catalogue)","{""type"":""MultiPolygon"",""coordinates"":[[[[137,-31.5],[137.5,-31.5],[137.5,-31],[137,-31],[137,-31.5]]]]}",0a47389a-f78e-4b2d-8d26-9a14c1f3a8ee,True,English,CC-BY-4.0,Creative Commons Attribution 4.0,https://creativecommons.org/licenses/by/4.0/,,,,,https://linked.data.gov.au/def/mer-doc-types/hydrogeological-publication,http://def.isotc211.org/iso19115/-1/2014/CommonClasses/code/MD_ScopeCode/document,http://def.isotc211.org/iso19115/-1/2014/IdentificationInformation/code/MD_TopicCategoryCode/geoscientificInformation,,ISO 19115-3,2024-11-06T11:15:43.119400,2024-11-06T11:15:43.119410,Mount Gunson Copper Mine,1,0,,,ba341289-6ddd-4749-81cf-385795e6ca0e,False,01/01/1978,,rb7800067,"{""type"":""Polygon"",""coordinates"":[[[137,-31.5],[137.5,-31.5],[137.5,-31],[137,-31],[137,-31.5]]]}",,active,,document,,License,
2024d046947,RB 2024/00010 Sediment-hosted copper deposits of the Mount Gunson district,,,,"Geographic Locality: Mount Gunson
Doc No: RB 2024/00010","""Mount Gunson""; ""Stuart Shelf""",https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/5809646/RB2024_10_Mt Gunson.pdf | https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/ReportBooks/RB2024_10_Mt_Gunson.zip,"Historically, geochemical data collected from drillholes by explorers in South Australia comprised only drill core assays of the targeted commodity or commodities, thus the potential for other critical minerals in existing deposits remains unknown. For this reason, re-sampling and re-assaying of existing drill core from all major projects in South Australia was undertaken to assess their multi-commodity critical mineral prospectivity. A total of 40 deposits was selected representing a variety of mineralisation styles to better define critical mineral potential across South Australia using historic company records and sampling drillholes from the South Australia Drill Core Library in Tonsley.","Terrones, M.;Fabris, A.;Krapf, C.",,"Terrones, M.;Fabris, A.;Krapf, C. 2024. RB 2024/00010 Sediment-hosted copper deposits of the Mount Gunson district. Departmental Publication - Geological Survey Geoscience Publication. Government of South Australia.","Department for Energy and Mining
Level 4, 11 Waymouth Street
Adelaide, South Australia 5000
Point of contact: [dem.sarig@sa.gov.au](mailto:dem.sarig@sa.gov.au?subject=SARIG catalogue)",,GDA2020 (EPSG:7844),40e4691d-d373-4a90-95c8-134c25d86907,"Department for Energy and Mining
Level 4, 11 Waymouth Street
Adelaide, South Australia 5000
Geological Survey of South Australia
Custodian: [dem.sarig@sa.gov.au](mailto:dem.sarig@sa.gov.au?subject=SARIG catalogue)","{""type"":""MultiPolygon"",""coordinates"":[[[[129,-39],[141,-39],[141,-26],[129,-26],[129,-39]]]]}",025b10a6-ad44-4bb8-a9c6-29bcbe68d8d2,True,English,CC-BY-4.0,Creative Commons Attribution 4.0,https://creativecommons.org/licenses/by/4.0/,,,,,https://linked.data.gov.au/def/mer-doc-types/geological-survey-geoscience-publication,http://def.isotc211.org/iso19115/-1/2014/CommonClasses/code/MD_ScopeCode/document,http://def.isotc211.org/iso19115/-1/2014/IdentificationInformation/code/MD_TopicCategoryCode/geoscientificInformation,,ISO 19115-3,2024-12-09T03:32:02.640654,2025-06-13T00:30:29.951002,Windabout;Mg14;Cattlegrid;Mount Gunson;Gun;Gully;House,2,0,,,ba341289-6ddd-4749-81cf-385795e6ca0e,False,01/06/2024,,2024d046947,"{""type"":""Polygon"",""coordinates"":[[[129,-39],[141,-39],[141,-26],[129,-26],[129,-39]]]}",,active,,document,,License,
mesac16516,Mount Gunson Mining Company. (Volume 2 of 1901-1914 Inspector of Mines Reports).,,,,Doc No: IMR 00002 p: 337,"""Mount Gunson""",https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/5931456/IMR00002337.pdf,"MOUNT GUNSON, copper oxide mineralisation was discovered in 1875, probably at the location now known as Main Open Cut. Mineralisation was developed over a horst of Mesoproterozoic Pandurra Formation, a fluviatile red bed sequence, representing a basement high during Neoproterozoic sedimentation. It formed a core surrounded by onlapping Whyalla Sandstone, a mature quartzose sandstone in part aeolian, which was overlain by Woomera Shale. Lower in the sequence, the Tapley Hill Formation lapped onto the basement horst. This basement high is known as the Pernatty Culmination. Mineralisation formed at the Marinoan disconformity (~630Ma), represented by the base of the Whyalla Sandstone. Cattlegrid Breccia, a permafrost breccia formed on the silicified palaeo-surface of the Pandurra Formation, was the principal ore host, but there was also significant mineralisation as veins in fractured Pandurra Formation beneath, and as cement in porous Whyalla Sandstone above this breccia. A WNW-trending linear structure influenced the orientation of the sulphide portion of the ore body. Timing of mineralisation from field relations suggests post deposition of the Whyalla Sandstone, which itself acted as an aquifer for the introduction of mineralising fluids and prior to the lithification of the underlying Neoproterozoic host. Locally, sub-vertical NE-trending fractures in the Pandurra Formation were well mineralised. Above the modern water table the ore was oxidised, consisting of atacamite with subordinate malachite and traces of chrysocolla and azurite. Mixed oxide and sulphide ore was found below the water table. The sulphides occurred mainly as chalcocite ore, composed of djurleite and digenite, with an oxidation coating of covellite in places. Traces of bornite, chalcopyrite, pyrite and tenorite were also present. Gangue minerals included iron oxide, mainly goethite, and manganese oxides. Copper was the main metal recovered, but about 10 g/t silver was also recovered from the sulphide ore. Cobalt, zinc and lead were also present in significant quantities. Except for some early shafts, mining was from open cuts, with a maximum depth of 20 m. Production from 1937-43 was 32,000t ore sent for processing to the Port Pirie smelters. Several million tonne of ore was identified during exploration from 1966-68. The ore was mined by Mount Gunson Mines Co. Ltd from 1969-71. Ore was mined from 1984-90, with a total production of about 830,000 tonne @ 1.6% Cu. At the heap leaching site a bi-product was sandstone.","Matthews, W.H.",,"Matthews, W.H. 1908. Mount Gunson Mining Company. (Volume 2 of 1901-1914 Inspector of Mines Reports). Departmental Publication - Closed Series - Inspector Of Mines Report. Government of South Australia.","Department for Energy and Mining
Level 4, 11 Waymouth Street
Adelaide, South Australia 5000
Point of contact: [dem.sarig@sa.gov.au](mailto:dem.sarig@sa.gov.au?subject=SARIG catalogue)",,GDA2020 (EPSG:7844),40e4691d-d373-4a90-95c8-134c25d86907,"Department for Energy and Mining
Level 4, 11 Waymouth Street
Adelaide, South Australia 5000
Geological Survey of South Australia
Custodian: [dem.sarig@sa.gov.au](mailto:dem.sarig@sa.gov.au?subject=SARIG catalogue)","{""type"":""MultiPolygon"",""coordinates"":[[[[129,-39],[141,-39],[141,-26],[129,-26],[129,-39]]]]}",da6b46ca-96c4-46b4-be94-b52909b8d697,True,English,CC-BY-4.0,Creative Commons Attribution 4.0,https://creativecommons.org/licenses/by/4.0/,,,,,https://linked.data.gov.au/def/mer-doc-types/inspector-of-mines-report,http://def.isotc211.org/iso19115/-1/2014/CommonClasses/code/MD_ScopeCode/document,http://def.isotc211.org/iso19115/-1/2014/IdentificationInformation/code/MD_TopicCategoryCode/geoscientificInformation,,ISO 19115-3,2024-10-28T13:23:51.759145,2024-12-07T07:36:29.846896,,1,0,,,ba341289-6ddd-4749-81cf-385795e6ca0e,False,08/02/1908,,mesac16516,"{""type"":""Polygon"",""coordinates"":[[[129,-39],[141,-39],[141,-26],[129,-26],[129,-39]]]}",,active,,document,,License,
rb7900086,"RB 79/00086 Stuart Highway, Bookaloo to Mount Gunson section. Drilling for construction water.",,,,"Geographic Locality: Bukaloo;Stuart Highway;Mount Gunson
Doc No: RB 79/00086","""Mount Gunson""; ""Stuart Shelf""",https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/4354854/RB7900086.pdf,Six holes totalling 659 m were drilled at four locations on the Bookaloo - Mount Gunson section of the Stuart Highway. Supplies of construction quality groundwater were obtained at three of the locations. There is some evidence to suggest that the optimum depth for water wells in this environment is of the order of 150 m.,"Read, R.E.",,"Read, R.E. 1979. RB 79/00086 Stuart Highway, Bookaloo to Mount Gunson section. Drilling for construction water. Departmental Publication - Hydrogeological Publication. Government of South Australia.","Department for Energy and Mining
Level 4, 11 Waymouth Street
Adelaide, South Australia 5000
Point of contact: [dem.sarig@sa.gov.au](mailto:dem.sarig@sa.gov.au?subject=SARIG catalogue)",,GDA2020 (EPSG:7844),40e4691d-d373-4a90-95c8-134c25d86907,"Department for Energy and Mining
Level 4, 11 Waymouth Street
Adelaide, South Australia 5000
Geological Survey of South Australia
Custodian: [dem.sarig@sa.gov.au](mailto:dem.sarig@sa.gov.au?subject=SARIG catalogue)","{""type"":""MultiPolygon"",""coordinates"":[[[[137,-32],[137.5,-32],[137.5,-31.5],[137,-31.5],[137,-32]]],[[[137,-31.5],[137.5,-31.5],[137.5,-31],[137,-31],[137,-31.5]]]]}",27a7331e-2384-4f80-b6ab-6ad1af8c6372,True,English,CC-BY-4.0,Creative Commons Attribution 4.0,https://creativecommons.org/licenses/by/4.0/,,,,,https://linked.data.gov.au/def/mer-doc-types/hydrogeological-publication,http://def.isotc211.org/iso19115/-1/2014/CommonClasses/code/MD_ScopeCode/document,http://def.isotc211.org/iso19115/-1/2014/IdentificationInformation/code/MD_TopicCategoryCode/geoscientificInformation,,ISO 19115-3,2024-11-06T11:55:25.464366,2024-11-06T11:55:25.464372,,1,0,,,ba341289-6ddd-4749-81cf-385795e6ca0e,False,01/01/1979,,rb7900086,"{""type"":""Polygon"",""coordinates"":[[[137,-32],[137.5,-32],[137.5,-31],[137,-31],[137,-32]]]}",,active,,document,,License,
2024d146618,RB 2024/00031 Secondary prospectivity of South Australia’s mine waste - Mount Gunson Mining area.,,,,"W.H. Bryan Mining Geology Research Centre, Sustainable Minerals Institute (SMI), The University of Queensland","""Mount Gunson""; ""Stuart Shelf""",https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/5943339/Mine waste Mount Gunson.pdf,"The Geological Survey of South Australia has recognised there is great potential to explore for critical metals in mine waste materials across the state forming part of a new supply chain. This report has sampled waste rock, tailings and processing waste (sludge) at the Mount Gunson mine and presents the geochemical and mineralogical characterisation of the samples in relation to their critical metal potential.","Colombi, F.; Jackson, L.; Parbhakar-Fox, A.",,"Colombi, F.; Jackson, L.; Parbhakar-Fox, A. 2024. RB 2024/00031 Secondary prospectivity of South Australia’s mine waste - Mount Gunson Mining area.
. Departmental Publication - Geological Survey Geoscience Publication. Government of South Australia.","Department for Energy and Mining
Level 4, 11 Waymouth Street
Adelaide, South Australia 5000
Point of contact: [dem.sarig@sa.gov.au](mailto:dem.sarig@sa.gov.au?subject=SARIG catalogue)","Sustainable Minerals Institute (SMI), The University of Queensland; Geological Survey of South Australia",GDA2020 (EPSG:7844),40e4691d-d373-4a90-95c8-134c25d86907,"Department for Energy and Mining
Level 4, 11 Waymouth Street
Adelaide, South Australia 5000
Geological Survey of South Australia
Custodian: [dem.sarig@sa.gov.au](mailto:dem.sarig@sa.gov.au?subject=SARIG catalogue)","{""type"":""MultiPolygon"",""coordinates"":[[[[136.5,-31],[137,-31],[137.5,-31],[138,-31],[138,-31.5],[138,-32],[137.5,-32],[137,-32],[136.5,-32],[136.5,-31.5],[136.5,-31]]]]}",1b94b9ad-54ca-45c3-8158-348f108b8057,True,English,CC-BY-4.0,Creative Commons Attribution 4.0,https://creativecommons.org/licenses/by/4.0/,,,,,https://linked.data.gov.au/def/mer-doc-types/geological-survey-geoscience-publication,http://def.isotc211.org/iso19115/-1/2014/CommonClasses/code/MD_ScopeCode/document,http://def.isotc211.org/iso19115/-1/2014/IdentificationInformation/code/MD_TopicCategoryCode/geoscientificInformation,,ISO 19115-3,2025-05-15T03:31:41.359626,2025-05-15T04:31:21.565548,Mount Gunson,1,0,,,ba341289-6ddd-4749-81cf-385795e6ca0e,False,01/10/2024,,2024d146618,"{""type"":""Polygon"",""coordinates"":[[[136.5,-32],[138,-32],[138,-31],[136.5,-31],[136.5,-32]]]}",,active,,document,,License,
rb6300075,"RB 63/00075 Report of exploratory geophysical surveys at Mount Gunson, Pernatty Lagoon, SML 96.",,,,"Notes: 65//01141
Geographic Locality: Pernatty Lagoon
Doc No: RB 63/00075","""Mount Gunson""; ""Pernatty Lagoon""; ""Stuart Shelf""",https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/4352125/RB6300075.pdf,"Induced polarisation, resistivity, gravity, magnetic, electro-magnetic, spontaneous potential and radioactive methods were used over areas at Mount Gunson and Pernatty Lagoon in which information from drill logs was available (ex- drilling traverses at the Mount Gunson and Lagoon workings), to assess their suitability as exploration tools in the search for new copper orebodies or the delimiting of known deposits.  Only the IP and gravity methods yielded positive results, but these are not correlatable with the geology and pattern of mineralisation known at present.","Milton, B.E.;Hussin, J.J.;Taylor, B.J.",,"Milton, B.E.;Hussin, J.J.;Taylor, B.J. 1966. RB 63/00075 Report of exploratory geophysical surveys at Mount Gunson, Pernatty Lagoon, SML 96. Geophysical Report - Final","Department for Energy and Mining
Level 4, 11 Waymouth Street
Adelaide, South Australia 5000
Point of contact: [dem.sarig@sa.gov.au](mailto:dem.sarig@sa.gov.au?subject=SARIG catalogue)",,GDA2020 (EPSG:7844),40e4691d-d373-4a90-95c8-134c25d86907,"Department for Energy and Mining
Level 4, 11 Waymouth Street
Adelaide, South Australia 5000
Geological Survey of South Australia
Custodian: [dem.sarig@sa.gov.au](mailto:dem.sarig@sa.gov.au?subject=SARIG catalogue)","{""type"":""MultiPolygon"",""coordinates"":[[[[137,-31.5],[137.5,-31.5],[137.5,-31],[137,-31],[137,-31.5]]]]}",2b4be602-0a0c-4057-8767-408c5dfce8b9,True,English,CC-BY-4.0,Creative Commons Attribution 4.0,https://creativecommons.org/licenses/by/4.0/,,,,,https://linked.data.gov.au/def/mer-doc-types/geophysical-survey-report-final,http://def.isotc211.org/iso19115/-1/2014/CommonClasses/code/MD_ScopeCode/document,http://def.isotc211.org/iso19115/-1/2014/IdentificationInformation/code/MD_TopicCategoryCode/geoscientificInformation,,ISO 19115-3,2024-11-05T09:11:25.170498,2024-11-05T09:11:25.170503,Mount Gunson Mine,1,0,,,ba341289-6ddd-4749-81cf-385795e6ca0e,False,29/09/1966,,rb6300075,"{""type"":""Polygon"",""coordinates"":[[[137,-31.5],[137.5,-31.5],[137.5,-31],[137,-31],[137,-31.5]]]}",Austminex Pty Ltd,active,Austminex Pty Ltd,document,,License,
rb9200061,"RB 92/00061 Soil Air CO2/O2 Project. Progress report 3, Mount Gunson area.",,,,"Geographic Locality: Eyre Peninsula;Pernatty Lagoon;Elizabeth Creek;The Gully
Doc No: RB 92/00061","""Mount Gunson""; ""Pernatty Lagoon""; ""Stuart Shelf""",https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/4356179/RB9200061.pdf,"The rationale of utilising soil air carbon dioxide and oxygen measurements as a guide to oxidising sulphide is that sulphide oxidation in the presence of water and oxygen will produce sulphuric acid, which in turn will attack any carbonates present to produce CO2.  Oxygen is consumed in the process.  Both CO2 and O2 can easily be measured to an acceptable accuracy in the field with portable equipment. The project aim is to test the technique over areas of known mineralisation in a variety of geological and geographical settings.","Watmuff, I.G.;Morris, B.J.",,"Watmuff, I.G.;Morris, B.J. 1992. RB 92/00061 Soil Air CO2/O2 Project. Progress report 3, Mount Gunson area. Departmental Publication - Geological Survey Geoscience Publication. Government of South Australia.","Department for Energy and Mining
Level 4, 11 Waymouth Street
Adelaide, South Australia 5000
Point of contact: [dem.sarig@sa.gov.au](mailto:dem.sarig@sa.gov.au?subject=SARIG catalogue)",,GDA2020 (EPSG:7844),40e4691d-d373-4a90-95c8-134c25d86907,"Department for Energy and Mining
Level 4, 11 Waymouth Street
Adelaide, South Australia 5000
Geological Survey of South Australia
Custodian: [dem.sarig@sa.gov.au](mailto:dem.sarig@sa.gov.au?subject=SARIG catalogue)","{""type"":""MultiPolygon"",""coordinates"":[[[[137,-31.5],[137.5,-31.5],[137.5,-31],[137,-31],[137,-31.5]]]]}",17143e64-5139-4023-b860-45dd4a12a2d0,True,English,CC-BY-4.0,Creative Commons Attribution 4.0,https://creativecommons.org/licenses/by/4.0/,,,,,https://linked.data.gov.au/def/mer-doc-types/geological-survey-geoscience-publication,http://def.isotc211.org/iso19115/-1/2014/CommonClasses/code/MD_ScopeCode/document,http://def.isotc211.org/iso19115/-1/2014/IdentificationInformation/code/MD_TopicCategoryCode/geoscientificInformation,,ISO 19115-3,2024-11-07T01:55:57.783697,2024-11-07T01:55:57.783705,Mount Gunson Mine;Cattle Grid Copper Deposit;MG14 Copper Prospect,1,0,,,ba341289-6ddd-4749-81cf-385795e6ca0e,False,01/10/1992,,rb9200061,"{""type"":""Polygon"",""coordinates"":[[[137,-31.5],[137.5,-31.5],[137.5,-31],[137,-31],[137,-31.5]]]}",,active,,document,,License,
mesac27726,Mining Proposal - Carrapateena Project - Mount Gunson 2 - Mining Proposal supporting Extractive Mineral lease Application for MC4441.,,,,Doc No: MP 3781326,"""Mount Gunson""",https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/5932138/MP3781326.pdf,There is no abstract created for this record,,,Mining Proposal - Carrapateena Project - Mount Gunson 2 - Mining Proposal supporting Extractive Mineral lease Application for MC4441. Mineral Company Report - Mining Operation Proposal,"Department for Energy and Mining
Level 4, 11 Waymouth Street
Adelaide, South Australia 5000
Point of contact: [dem.sarig@sa.gov.au](mailto:dem.sarig@sa.gov.au?subject=SARIG catalogue)",,GDA2020 (EPSG:7844),40e4691d-d373-4a90-95c8-134c25d86907,"Department for Energy and Mining
Level 4, 11 Waymouth Street
Adelaide, South Australia 5000
Geological Survey of South Australia
Custodian: [dem.sarig@sa.gov.au](mailto:dem.sarig@sa.gov.au?subject=SARIG catalogue)","{""type"":""MultiPolygon"",""coordinates"":[[[[137.5,-32.5],[138,-32.5],[138,-32],[137.5,-32],[137.5,-32.5]]]]}",315060c8-bbf0-429f-99a5-b757ba81fcab,True,English,CC-BY-4.0,Creative Commons Attribution 4.0,https://creativecommons.org/licenses/by/4.0/,,,,,https://linked.data.gov.au/def/mer-doc-types/mining-operation-proposal,http://def.isotc211.org/iso19115/-1/2014/CommonClasses/code/MD_ScopeCode/document,http://def.isotc211.org/iso19115/-1/2014/IdentificationInformation/code/MD_TopicCategoryCode/geoscientificInformation,,ISO 19115-3,2024-11-07T15:17:15.756094,2024-11-07T15:17:15.756099,Carrapateena Project,1,0,Oz Minerals Carrapateena Pty Ltd,,ba341289-6ddd-4749-81cf-385795e6ca0e,False,,,mesac27726,"{""type"":""Polygon"",""coordinates"":[[[137.5,-32.5],[138,-32.5],[138,-32],[137.5,-32],[137.5,-32.5]]]}",,active,,document,,License,
mesac27725,Mining Proposal - Carrapateena Project - Mount Gunson 1 - Mining Proposal supporting Extractive Mineral lease Application for MC4440.,,,,Doc No: MP 3781325,"""Mount Gunson""",https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/5936826/MP3781325.pdf,There is no abstract created for this record,,,Mining Proposal - Carrapateena Project - Mount Gunson 1 - Mining Proposal supporting Extractive Mineral lease Application for MC4440. Mineral Company Report - Mining Operation Proposal,"Department for Energy and Mining
Level 4, 11 Waymouth Street
Adelaide, South Australia 5000
Point of contact: [dem.sarig@sa.gov.au](mailto:dem.sarig@sa.gov.au?subject=SARIG catalogue)",,GDA2020 (EPSG:7844),40e4691d-d373-4a90-95c8-134c25d86907,"Department for Energy and Mining
Level 4, 11 Waymouth Street
Adelaide, South Australia 5000
Geological Survey of South Australia
Custodian: [dem.sarig@sa.gov.au](mailto:dem.sarig@sa.gov.au?subject=SARIG catalogue)","{""type"":""MultiPolygon"",""coordinates"":[[[[137.5,-32.5],[138,-32.5],[138,-32],[137.5,-32],[137.5,-32.5]]]]}",d35c7000-bd7b-493e-b198-977c68f56c6f,True,English,CC-BY-4.0,Creative Commons Attribution 4.0,https://creativecommons.org/licenses/by/4.0/,,,,,https://linked.data.gov.au/def/mer-doc-types/mining-operation-proposal,http://def.isotc211.org/iso19115/-1/2014/CommonClasses/code/MD_ScopeCode/document,http://def.isotc211.org/iso19115/-1/2014/IdentificationInformation/code/MD_TopicCategoryCode/geoscientificInformation,,ISO 19115-3,2024-11-07T16:24:19.346872,2024-11-07T16:24:19.346877,Carrapateena Project,1,0,Oz Minerals Carrapateena Pty Ltd,,ba341289-6ddd-4749-81cf-385795e6ca0e,False,,,mesac27725,"{""type"":""Polygon"",""coordinates"":[[[137.5,-32.5],[138,-32.5],[138,-32],[137.5,-32],[137.5,-32.5]]]}",,active,,document,,License,
