record,source,dest,bytes,date_read,title
mesac2924,01_data/wp1_data/database/reports/olympic_dam_district/mesac2924/Bore sample analyses_ Stuart Shelf_ with reference to the Pernatty Lagoon (Mount Gunson mine) Cu_ Mn_ Ba mineralisation,mesac2924_Env01880_pp359-499.pdf,4075385,1972,"Bore sample analyses, Stuart Shelf, Pernatty Lagoon (Mount Gunson mine) Cu, Mn, Ba mineralisation and the Pandurra copper prospect (Warne)"
mesac2928,01_data/wp1_data/database/reports/olympic_dam_district/mesac2924/Bore sample analyses_ Stuart Shelf_ with reference to the Pernatty Lagoon (Mount Gunson mine) Cu_ Mn_ Ba mineralisation,mesac2928_Env01880_pp414-437.pdf,836504,1972,"Analyses of bore and well spoil samples obtained by D. Ker, 1963, western Stuart Shelf (Warne)"
mesac31462,01_data/wp1_data/database/reports/annexA_sources/mesac31461/ENV02187.pdf,mesac31462_Env02187_pp551-573.pdf,10076637,24/09/1972,"Geochemical mud sampling and drilling, Pernatty Lagoon (Maiden)"
mesac31775,01_data/wp1_data/database/reports/era_1975_1982/mesac31776/Attempted dating of galenas from four drill core samples_ Mount Gunson copper deposit. (Appendix 6 to progress report to,mesac31775_Env02330_pp16-54.pdf,2024314,before 19/10/1973,Results of exploration activities in the Oakden Hills - Lake Macfarlane area
mesac31773,01_data/wp1_data/database/reports/era_1975_1982/mesac31776/Attempted dating of galenas from four drill core samples_ Mount Gunson copper deposit. (Appendix 6 to progress report to,mesac31773_Env02330_pp54-59.pdf,315323,May-June 1973 (hole table),Pernatty Lagoon progress reports 20/7/1973 to 19/7/1975 (pre-t0 pages only)
mesac31776,01_data/wp1_data/database/reports/era_1975_1982/mesac31776/Attempted dating of galenas from four drill core samples_ Mount Gunson copper deposit. (Appendix 6 to progress report to,mesac31776_Env02330_pp737-744.pdf,494384,before 19/1/1975,"Attempted dating of galenas from four drill core samples, Mount Gunson (Richards)"
mesac31436,01_data/wp1_data/database/reports/era_1975_1982/mesac31475/Mineragraphic study of polished sections of sulphides obtained from the Cattlegrid open pit_ Mount Gunson_ SA_ 1974-1976,mesac31436_Env06611_pp4-64.pdf,5386079,1967,Binocular microscope logging of percussion drill cuttings
mesac31437,01_data/wp1_data/database/reports/era_1975_1982/mesac31475/Mineragraphic study of polished sections of sulphides obtained from the Cattlegrid open pit_ Mount Gunson_ SA_ 1974-1976,mesac31437_Env06611_pp63-147.pdf,1805812,October 1972,"Petrography of Mount Gunson sediments, Parts I and II"
mesac31438,01_data/wp1_data/database/reports/era_1975_1982/mesac31475/Mineragraphic study of polished sections of sulphides obtained from the Cattlegrid open pit_ Mount Gunson_ SA_ 1974-1976,mesac31438_Env06611_pp146-158.pdf,423351,1973,Petrological-mineralogical examination (Curtis)
mesac31439,01_data/wp1_data/database/reports/era_1975_1982/mesac31475/Mineragraphic study of polished sections of sulphides obtained from the Cattlegrid open pit_ Mount Gunson_ SA_ 1974-1976,mesac31439_Env06611_pp157-186.pdf,644886,20/12/1971,Petrographic / mineragraphic examination of Mount Gunson ore specimens (Curtis)
mesac31440,01_data/wp1_data/database/reports/era_1975_1982/mesac31475/Mineragraphic study of polished sections of sulphides obtained from the Cattlegrid open pit_ Mount Gunson_ SA_ 1974-1976,mesac31440_Env06611_pp185-229.pdf,1770314,Jan 1974 / Jun 1974 / Apr 1975,"Petrography of Pandurra area thin sections, Parts II-III (Curtis)"
mesac31441,01_data/wp1_data/database/reports/era_1975_1982/mesac31475/Mineragraphic study of polished sections of sulphides obtained from the Cattlegrid open pit_ Mount Gunson_ SA_ 1974-1976,mesac31441_Env06611_pp229-239.pdf,328787,February 1974,"Petrographic report, specimens from the Powerline Embayment area"
mesac31445,01_data/wp1_data/database/reports/era_1975_1982/mesac31475/Mineragraphic study of polished sections of sulphides obtained from the Cattlegrid open pit_ Mount Gunson_ SA_ 1974-1976,mesac31445_Env06611_pp264-284.pdf,728070,12/03/1974,"Petrographic examination of McLeay Beds, Mount Gunson district (Curtis)"
