record,env,p_from,p_to,catalogue_date,date_read,date_basis,status_t0,facies_content,title,date_plot,date_plot_note
mesac2924,01880,360,498,1972,1972,catalogue,before,bore sample analyses Stuart Shelf (Cu Mn Ba) with lithology,"Bore sample analyses, Stuart Shelf, Pernatty Lagoon (Mount Gunson mine) Cu, Mn, Ba mineralisation and the Pandurra copper prospect (Warne)",1972-07-01,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac2928,01880,415,436,1972,1972,catalogue,before,bore and well spoil analyses western Stuart Shelf,"Analyses of bore and well spoil samples obtained by D. Ker, 1963, western Stuart Shelf (Warne)",1972-07-01,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac31462,02187,552,572,24/09/1972,24/09/1972,catalogue,before,mud sampling and drilling logs,"Geochemical mud sampling and drilling, Pernatty Lagoon (Maiden)",1972-09-24,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac31775,02330,17,53,undated,before 19/10/1973,title (Appendix 1 to progress report to 19/10/1973),before,exploration results with drilling,Results of exploration activities in the Oakden Hills - Lake Macfarlane area,1973-10-19,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac31773,02330,55,58,undated,May-June 1973 (hole table),OCR p54: holes drilled 12/5/73 to 24/6/73 with depths to Tregolana/Whyalla/Woocalla/Pandurra,before,hole table with stratigraphic depths,Pernatty Lagoon progress reports 20/7/1973 to 19/7/1975 (pre-t0 pages only),1973-06-24,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac31776,02330,738,743,1975,before 19/1/1975,title (Appendix 6 to progress report to 19/1/1975),before,galena ages from drill core,"Attempted dating of galenas from four drill core samples, Mount Gunson (Richards)",1975-01-19,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac31294,06593,104,122,undated,text signed 3/3/1975 (p. 11 of extract); title page PMR 140/76 D.G. Tonkin July 1976 (p. 20),"OCR full extract 2026-09-21: OCR p105 ""October, 1974"" is the pit date in the text",unresolved,"Cattle Grid ore habit, Pandurra surface breccia, MG14 basic dyke genesis argument",Genesis of Mount Gunson copper deposits,1974-10-15,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac31297,06593,213,246,undated,1975-1976,OCR p212-213 (1976 and 1975 dates),unresolved,Cattlegrid geology,Geology of the Cattlegrid copper deposit,1975-12-31,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac31299,06593,267,297,undated,1978,OCR p268,after,,Structures and mineralization in the Cattlegrid ore body,1978-07-01,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac31301,06593,383,479,undated,1979,OCR p382-384,after,,Analysis of the sedimentary host rocks to mineralization at the Cattlegrid ore body,1979-07-01,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac31436,06611,5,63,1967,1967,catalogue,before,binocular logs of percussion cuttings,Binocular microscope logging of percussion drill cuttings,1967-07-01,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac31437,06611,64,146,undated,October 1972,OCR p65,before,sediment petrography,"Petrography of Mount Gunson sediments, Parts I and II",1972-10-15,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac31438,06611,147,157,1973,1973,catalogue,before,petrology,Petrological-mineralogical examination (Curtis),1973-07-01,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac31439,06611,158,185,20/12/1971,20/12/1971,catalogue,before,ore petrography,Petrographic / mineragraphic examination of Mount Gunson ore specimens (Curtis),1971-12-20,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac31440,06611,186,228,1975,Jan 1974 / Jun 1974 / Apr 1975,title parts and OCR p186-187,before,Pandurra thin sections,"Petrography of Pandurra area thin sections, Parts II-III (Curtis)",1975-04-15,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac31441,06611,230,238,undated,February 1974,OCR p231,before,Powerline Embayment specimens,"Petrographic report, specimens from the Powerline Embayment area",1974-02-15,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac31445,06611,265,283,12/03/1974,12/03/1974,catalogue,before,McLeay Beds petrography,"Petrographic examination of McLeay Beds, Mount Gunson district (Curtis)",1974-03-12,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac31447,06611,409,467,undated,May 1974,"title page (Maiden, PMR 58/74)",before,Woocalla facies variations vs base metals,"Facies variations in the Woocalla Formation and their relation to base metal mineralisation (K.J. Maiden, Pacminex PMR 58/74, May 1974)",1974-05-15,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac31448,06611,468,476,undated,after 15/5/1974 (cites a sample of that date),OCR p469 reference list,unresolved,washed sand percussion holes,"Study of washed sand from percussion drill holes, Powerline Embayment",1974-05-15,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac31452,06611,736,816,undated,Nov-Dec 1974,OCR p735 memo 27/11/1974 and 10/12/74,before,Gully and MG14 core petrography,"Petrographic and mineragraphic examination of drill core, Gully and MG14 deposits",1974-12-10,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac31455,06611,902,921,undated,not read,OCR no date,unresolved,rock specimens Oakden Hills,"Petrographic investigation of rock specimens, Mount Gunson and Oakden Hills",,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac31456,06611,922,939,undated,1976-1977,OCR p922-924,after,,Petrography of specimens from DDH PL32,1977-02-27,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac31487,06611,1042,1137,undated,not read,OCR no date (Pacminex drill log),unresolved,Tapley Hill petrology,"Petrology of the Tapley Hill Formation, Stuart Shelf",,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac31892,03026,345,435,undated,not read,OCR no date,unresolved,LY2 Pandurra petrography (hole drilled March 1974),Petrography of the Pandurra Formation in DDH LY2,,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac31893,03026,780,838,undated,not read,OCR no date,unresolved,McLeay Beds review,McLeay Beds review. A petrography study,,latest date read on or for the item; year-only items placed mid-year; blank = not dated
mesac31894,03026,1087,1133,undated,1974 on log sheet,OCR p1087 (field log dated 1974; study date not read),unresolved,PL32 pre-Tent Hill petrography,Petrography of the pre-Tent Hill Formation interval cored in DDH PL32,1974-07-01,latest date read on or for the item; year-only items placed mid-year; blank = not dated
