reading,DRILLHOLE_NO,basement_top_m,basement_unit,contact_cover_unit,contact_cover_from_m,contact_cover_to_m,contact_facies_class,contact_reduced_words,contact_oxidised_words,contact_description,contact_logging_date,contact_logged_before_t0,DH_NAME,lon_dd,lat_dd,drill_date,OPERATOR_NAME,LITHO_LOG,in_regional_window,dist_od_km
pandurra_as_basement,4062,17.68,Hiltaba Suite,Garford Formation,3.66,17.68,none,,,"sand, pinkish clay",2010-04-20,False,,134.450313,-32.8339633,1949-09-08,,Y,False,352.1
pandurra_as_basement,4063,18.0,Hiltaba Suite,Garford Formation,4.0,18.0,none,,,rusty clayey sand,2010-04-20,False,,134.464835,-32.8355503,1949-09-16,,Y,False,351.4
pandurra_as_basement,4066,24.3,Hiltaba Suite,Garford Formation,5.49,24.3,none,,,light clayey sand and grit,2010-04-20,False,,134.45251,-32.8520853,1958-09-05,,Y,False,353.5
pandurra_as_basement,4067,28.04,Hiltaba Suite,Garford Formation,17.0,28.04,none,,,"creamy clayey sand, sandstone.",2010-04-20,False,,134.477769,-32.8235633,1953-10-03,,Y,False,349.6
pandurra_as_basement,4127,36.58,St Peter Suite,Garford Formation,19.81,36.58,none,,,sand and gravel at depth,2010-04-20,False,,134.350802,-32.7920373,1956-12-20,,Y,False,355.0
pandurra_as_basement,4159,41.25,Hiltaba Suite,Garford Formation,10.36,41.25,oxidised,,brown,"brown sand, white clay and grit",2010-04-20,False,,134.418914,-32.8481183,1954-02-25,,Y,False,355.3
pandurra_as_basement,4164,36.88,Hiltaba Suite,Garford Formation,4.27,36.88,none,,,"silaceous sand, clayey",2010-04-20,False,,134.433128,-32.8463973,1950-05-30,,Y,False,354.2
pandurra_as_basement,4181,18.29,St Peter Suite,Garford Formation,11.58,18.29,oxidised,,brown; red,"red/brown sand, gritty",2010-04-20,False,,134.342127,-32.8561723,1956-03-09,,Y,False,360.7
pandurra_as_basement,4193,8.23,St Peter Suite,Wiabuna Formation,0.0,8.23,none,,,"limestone rubble, gravel, sand",2010-04-20,False,DEPT OF MINES,134.438234,-32.9161833,1967-05-02,South Australia. Department of Mines and Energy.,Y,False,359.8
pandurra_as_basement,5051,37.5,Mulgathing Complex,Jurassic-Cretaceous unit 1,2.5,37.5,none,,,Fine gr. sandstone with rounded - subang gr and silty matrix,1993-07-21,False,COMM RAILWAYS (A169) 15,134.4786941,-29.2546583,1972-03-27,Commonwealth Railways of Australia.,N,False,267.1
pandurra_as_basement,5145,548.64,Mulgathing Complex,Stuart Range Formation,521.21,548.64,none,,,Claystone with minor silt and sand,1993-07-15,False,MOUNT FURNER 1,134.4653931,-28.1025323,1969-06-17,South Australia. Department of Mines and Energy.,N,False,350.4
pandurra_as_basement,6092,22.25,St Peter Suite,Garford Formation,3.05,22.05,none,,,"sandy clay, come gypsun and silaceous rocks",2010-04-23,False,E&WS - KUDDLEBA BORE,134.8555389,-32.6454883,1913-08-01,South Australia. Engineer in Chiefs Department.,Y,False,311.7
pandurra_as_basement,6100,43.89,Hiltaba Suite,Garford Formation,7.0,43.89,oxidised,,brown,"light yellow brown sand, clayey",2010-04-23,False,,134.7689199,-32.7731653,1948-11-08,,Y,False,327.8
pandurra_as_basement,6109,47.24,St Peter Suite,Bridgewater Formation,10.67,47.24,none,,,"gritty sand, sandstone.",2010-04-23,False,HIGHWAYS AND LOCAL GOVT DEPT,134.7274739,-32.6908493,1963-12-06,,Y,False,323.2
pandurra_as_basement,6129,35.57,Hiltaba Suite,Garford Formation,4.27,35.57,oxidised,,brown,"	pale yellow/brown sand, clayey grit",2010-04-27,False,,134.8218299,-32.8733623,1950-07-06,,Y,False,333.7
pandurra_as_basement,6141,44.81,Hiltaba Suite,Garford Formation,10.67,44.81,none,,,"yellow clayey sand, grit",2010-04-23,False,,134.7714139,-32.8079623,1954-02-19,,Y,False,330.7
pandurra_as_basement,6144,18.2,Hiltaba Suite,Garford Formation,4.8,18.2,none,,,,2020-06-26,False,,134.7900969,-32.8441673,1958-11-05,,N,False,332.9
pandurra_as_basement,6151,25.0,Hiltaba Suite,Garford Formation,5.5,25.0,none,,,,2020-06-29,False,,134.7527889,-32.8642973,1955-03-02,,N,False,336.8
pandurra_as_basement,6226,32.0,St Peter Suite,Garford Formation,3.05,32.0,oxidised,,red,"pink red sand, quartz grit",2010-04-27,False,,134.7299959,-32.9471843,1954-02-05,,Y,False,345.4
pandurra_as_basement,6233,30.5,Hiltaba Suite,Garford Formation,6.1,30.5,none,,,,2020-06-29,False,,134.7431859,-32.8736953,1952-05-13,,N,False,338.1
pandurra_as_basement,6234,6.1,Hiltaba Suite,Garford Formation,1.8,6.1,none,,,,2020-06-29,False,,134.7322729,-32.8732933,1955-03-16,,N,False,338.7
pandurra_as_basement,6235,45.7,Hiltaba Suite,Tertiary rocks,15.2,45.7,none,,,,2020-06-29,False,,134.7220199,-32.8530553,1929-08-13,,N,False,337.5
pandurra_as_basement,6236,51.8,Hiltaba Suite,Garford Formation,3.0,51.8,none,,,,2020-06-29,False,,134.7250979,-32.8495263,1948-06-28,,N,False,337.0
pandurra_as_basement,6237,33.8,Hiltaba Suite,Garford Formation,2.7,33.8,none,,,,2020-06-29,False,,134.7250229,-32.8497883,1948-07-15,,N,False,337.1
pandurra_as_basement,6248,15.24,Hiltaba Suite,Garford Formation,4.27,15.24,oxidised,,brown,	yellow brown sand and grit,2010-04-27,False,,134.521739,-32.8241803,1952-12-16,,Y,False,346.9
pandurra_as_basement,6363,0.0,Tarcoola Formation,,,,no cover interval logged,,,,,,TD 1 SADME,134.541359,-30.7037243,1965-05-17,South Australia. Department of Mines and Energy.,Y,False,226.5
pandurra_as_basement,6364,0.0,Tarcoola Formation,,,,no cover interval logged,,,,,,TD 2 SADME,134.541349,-30.7037243,1965-06-12,South Australia. Department of Mines and Energy.,Y,False,226.5
pandurra_as_basement,6365,0.0,Tarcoola Formation,,,,no cover interval logged,,,,,,TD 3 SADME,134.541349,-30.7037243,1965-07-14,South Australia. Department of Mines and Energy.,Y,False,226.5
