DRILLHOLE_NO,LOG_NUMBER,LOGGING_ORGANISATION,QUALIFICATION,LOGGING_DATE,DEPTH_FROM_M,DEPTH_TO_M,MAJOR_LITHOLOGY_CODE,MAJOR_LITHOLOGY_CONF,MAJOR_LITHOLOGY,MINOR_LITHOLOGY_CODE,MINOR_LITHOLOGY_CONF,MINOR_LITHOLOGY,DESCRIPTION,SITE_NO,EASTING_GDA2020,NORTHING_GDA2020,ZONE_GDA2020,LONGITUDE_GDA2020,LATITUDE_GDA2020,LONGITUDE_GDA94,LATITUDE_GDA94,reduced_words,oxidised_words,reductant_words,facies_class,logging_date,logged_before_t0,DH_NAME,lon_dd,lat_dd,drill_date,OPERATOR_NAME,LITHO_LOG,in_regional_window,dist_od_km
3994,83149,,Geologist,16/04/1956,0.0,3.66,TRAV,,Travertine,,,,Buff travertine limestone,3418,435669.2,6380525.86,53,134.313585,-32.7111513,134.3135755,-32.7111371,,buff,,oxidised,1956-04-16,True,,134.313585,-32.7111513,1956-04-16,,Y,False,350.9
3994,83149,,Geologist,16/04/1956,3.66,12.19,TRAV,,Travertine,,,,Creamy white travertine limestone,3418,435669.2,6380525.86,53,134.313585,-32.7111513,134.3135755,-32.7111371,,,,none,1956-04-16,True,,134.313585,-32.7111513,1956-04-16,,Y,False,350.9
3995,83155,,Geologist,17/04/1956,0.0,6.1,TRAV,,Travertine,,,,Light buff travertine limestone,3419,436067.15,6380468.9,53,134.317827,-32.7116883,134.3178175,-32.7116741,,buff,,oxidised,1956-04-17,True,,134.317827,-32.7116883,1956-04-17,,Y,False,350.7
3995,83155,,Geologist,17/04/1956,6.1,12.8,CALC,,Calcrete,,,,Cream calcarenite,3419,436067.15,6380468.9,53,134.317827,-32.7116883,134.3178175,-32.7116741,,,,none,1956-04-17,True,,134.317827,-32.7116883,1956-04-17,,Y,False,350.7
3996,83158,,Geologist,18/04/1956,0.0,7.62,TRAV,,Travertine,,,,Pink travertine limestone,3420,435859.16,6380296.94,53,134.315596,-32.7132273,134.3155865,-32.7132131,,,,none,1956-04-18,True,,134.315596,-32.7132273,1956-04-18,,Y,False,350.9
3996,83158,,Geologist,18/04/1956,7.62,17.07,TRAV,,Travertine,,,,Buff dolomitic travertine limestone,3420,435859.16,6380296.94,53,134.315596,-32.7132273,134.3155865,-32.7132131,,buff,,oxidised,1956-04-18,True,,134.315596,-32.7132273,1956-04-18,,Y,False,350.9
3997,83171,,Geologist,20/04/1956,0.0,10.67,TRAV,,Travertine,,,,Pale pink travertine limestone,3421,435647.28,6379236.94,53,134.313262,-32.7227763,134.3132525,-32.7227621,,,,none,1956-04-20,True,,134.313262,-32.7227763,1956-04-20,,Y,False,351.8
3997,83171,,Geologist,20/04/1956,10.67,18.29,TRAV,,Travertine,,,,Pale pink dolomitic travertine limestone,3421,435647.28,6379236.94,53,134.313262,-32.7227763,134.3132525,-32.7227621,,,,none,1956-04-20,True,,134.313262,-32.7227763,1956-04-20,,Y,False,351.8
3997,83171,,Geologist,20/04/1956,18.29,28.04,TRAV,,Travertine,,,,Pale buff dolomitic travertine limestone,3421,435647.28,6379236.94,53,134.313262,-32.7227763,134.3132525,-32.7227621,,buff,,oxidised,1956-04-20,True,,134.313262,-32.7227763,1956-04-20,,Y,False,351.8
4000,83186,,Geologist,30/07/1953,0.0,1.75,LMST,,Limestone,,,,White limestone,3424,440977.21,6376870.99,53,134.369987,-32.7444163,134.3699775,-32.7444021,,,,none,1953-07-30,True,,134.369987,-32.7444163,1953-07-30,,Y,False,349.9
4005,83194,,Geologist,10/12/1963,0.0,3.05,SOIL,,Soil,,,,Brown well kunkarized soil,3429,439224.23,6380321.98,53,134.351502,-32.7131923,134.3514925,-32.7131781,,brown,,oxidised,1963-12-10,True,,134.351502,-32.7131923,1963-10-30,,Y,False,348.6
4005,83194,,Geologist,10/12/1963,3.05,6.1,CALC,,Calcrete,,,,White kunkar with somesand,3429,439224.23,6380321.98,53,134.351502,-32.7131923,134.3514925,-32.7131781,,,,none,1963-12-10,True,,134.351502,-32.7131923,1963-10-30,,Y,False,348.6
4005,83194,,Geologist,10/12/1963,6.1,7.92,SAND,,Sand,,,,Off-white coarse grained limesand,3429,439224.23,6380321.98,53,134.351502,-32.7131923,134.3514925,-32.7131781,,,,none,1963-12-10,True,,134.351502,-32.7131923,1963-10-30,,Y,False,348.6
4005,83194,,Geologist,10/12/1963,7.92,9.14,SAND,,Sand,,,,Buff coarse grained limesand,3429,439224.23,6380321.98,53,134.351502,-32.7131923,134.3514925,-32.7131781,,buff,,oxidised,1963-12-10,True,,134.351502,-32.7131923,1963-10-30,,Y,False,348.6
4005,83194,,Geologist,10/12/1963,9.14,12.19,SAND,,Sand,,,,Buff sandy  medium grained limesand,3429,439224.23,6380321.98,53,134.351502,-32.7131923,134.3514925,-32.7131781,,buff,,oxidised,1963-12-10,True,,134.351502,-32.7131923,1963-10-30,,Y,False,348.6
4005,83194,,Geologist,10/12/1963,12.19,17.98,SAND,,Sand,,,,Buff limesand with grit,3429,439224.23,6380321.98,53,134.351502,-32.7131923,134.3514925,-32.7131781,,buff,,oxidised,1963-12-10,True,,134.351502,-32.7131923,1963-10-30,,Y,False,348.6
4005,83194,,Geologist,10/12/1963,17.98,21.64,SAND,,Sand,,,,White sandy limesand - medium grained,3429,439224.23,6380321.98,53,134.351502,-32.7131923,134.3514925,-32.7131781,,,,none,1963-12-10,True,,134.351502,-32.7131923,1963-10-30,,Y,False,348.6
4008,83197,,Geologist,07/10/1955,0.0,3.66,LMST,,Limestone,,,,Dirty buff limestone,3432,443274.25,6377730.93,53,134.394557,-32.7367803,134.3945475,-32.7367661,,buff,,oxidised,1955-10-07,True,,134.394557,-32.7367803,1955-08-26,,Y,False,347.7
4008,83197,,Geologist,07/10/1955,3.66,8.23,LMST,,Limestone,,,,Light pink limestone,3432,443274.25,6377730.93,53,134.394557,-32.7367803,134.3945475,-32.7367661,,,,none,1955-10-07,True,,134.394557,-32.7367803,1955-08-26,,Y,False,347.7
4008,83197,,Geologist,07/10/1955,8.23,14.33,LMST,,Limestone,,,,Light pink sandy limestone,3432,443274.25,6377730.93,53,134.394557,-32.7367803,134.3945475,-32.7367661,,,,none,1955-10-07,True,,134.394557,-32.7367803,1955-08-26,,Y,False,347.7
