DRILLHOLE_NO,DH_NAME,lon_dd,lat_dd,drill_date,OPERATOR_NAME,in_regional_window,dist_od_km,LOGGING_ORGANISATION,logging_date,logged_before_t0,DEPTH_FROM_M,DEPTH_TO_M,GIS_CODE,STRAT_UNIT_NAME,age_class,is_pre_adelaidean,is_pandurra,is_crystalline_basement,MAJOR_LITHOLOGY,MINOR_LITHOLOGY,DESCRIPTION,facies_class,reduced_words,reductant_words,oxidised_words
3989,CAVERNOUS WELL,134.434705,-32.5357063,1920-01-02,,False,329.1,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,4.57,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,Sand,"limestone, sand",none,,,
3989,CAVERNOUS WELL,134.434705,-32.5357063,1920-01-02,,False,329.1,"Dept of Water, Land and Bio Cons",2010-04-20,False,4.57,37.19,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,,"sand. Lack of info, possible TIG like surrounding logs",none,,,
4011,,134.425699,-32.6722303,1955-09-05,,False,340.5,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,17.68,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,,limestone,none,,,
4011,,134.425699,-32.6722303,1955-09-05,,False,340.5,"Dept of Water, Land and Bio Cons",2010-04-20,False,17.68,33.22,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,,cream/brown sand.,oxidised,,,brown
4015,,134.43415,-32.6850153,1956-09-24,,False,341.0,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,18.9,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,Gravel,"	limestone, rubbly limestone",none,,,
4015,,134.43415,-32.6850153,1956-09-24,,False,341.0,"Dept of Water, Land and Bio Cons",2010-04-20,False,18.9,33.53,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Clay (Undiff. Origin),clayey sand,none,,,
4022,,134.464269,-32.6894413,1963-08-27,,False,339.4,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,12.19,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,Sand,"limestone,",none,,,
4022,,134.464269,-32.6894413,1963-08-27,,False,339.4,"Dept of Water, Land and Bio Cons",2010-04-20,False,12.19,32.92,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Clay (Undiff. Origin),clayey sand,none,,,
4040,,134.304487,-32.7642313,1964-07-24,South Australia. Department of Mines and Energy.,False,355.7,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,18.9,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,Clay (Undiff. Origin),"limestone, sandy limestone and clay",none,,,
4040,,134.304487,-32.7642313,1964-07-24,South Australia. Department of Mines and Energy.,False,355.7,"Dept of Water, Land and Bio Cons",2010-04-20,False,18.9,32.0,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Grit,light brown to red sand with grit,oxidised,,,brown; red
4041,,134.35208,-32.7690693,1947-09-11,,False,353.0,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,25.6,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,,limestone,none,,,
4041,,134.35208,-32.7690693,1947-09-11,,False,353.0,"Dept of Water, Land and Bio Cons",2010-04-20,False,25.6,32.61,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,,yellow to red medium grained sand,oxidised,,,red
4042,,134.392068,-32.7733013,1952-11-05,,False,350.8,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,11.58,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,Sand,limestone.,none,,,
4042,,134.392068,-32.7733013,1952-11-05,,False,350.8,"Dept of Water, Land and Bio Cons",2010-04-20,False,11.58,28.65,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Grit,"	sand, gritty at depth",none,,,
4051,,134.426947,-32.7638773,1964-07-02,,False,347.8,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,14.94,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,,limestone,none,,,
4051,,134.426947,-32.7638773,1964-07-02,,False,347.8,"Dept of Water, Land and Bio Cons",2010-04-20,False,14.94,28.96,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Grit,	sand and grit at depth,none,,,
4062,,134.450313,-32.8339633,1949-09-08,,False,352.1,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,3.66,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,,limestone	,none,,,
4062,,134.450313,-32.8339633,1949-09-08,,False,352.1,"Dept of Water, Land and Bio Cons",2010-04-20,False,3.66,17.68,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Clay (Undiff. Origin),"sand, pinkish clay",none,,,
4062,,134.450313,-32.8339633,1949-09-08,,False,352.1,"Dept of Water, Land and Bio Cons",2010-04-20,False,17.68,18.26,M-th,Hiltaba Suite,Mesoproterozoic,True,False,True,Granite,,"	decomposed granite, feldspar, quartz sand.",none,,,
4063,,134.464835,-32.8355503,1949-09-16,,False,351.4,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,4.0,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,,limestone,none,,,
4063,,134.464835,-32.8355503,1949-09-16,,False,351.4,"Dept of Water, Land and Bio Cons",2010-04-20,False,4.0,18.0,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Clay (Undiff. Origin),rusty clayey sand,none,,,
