DRILLHOLE_NO,DH_NAME,group,lon_dd,lat_dd,max_depth_m,drill_date,OPERATOR_NAME,dist_od_km
20580,BEDA BORE,BEDA BORE,137.4294176,-31.9733964,335.13,1889-12-21,South Australia. Engineer in Chiefs Department.,178.0
139671,LD 1,LD,137.1013426,-31.6485234,92.7,1971-03-27,Noranda Australia Ltd.,135.8
139672,LD 2,LD,137.1513456,-31.7318594,185.4,1971-05-05,Noranda Australia Ltd.,145.7
139673,LD 3,LD,137.0513506,-31.7651944,192.6,1971-05-24,Noranda Australia Ltd.,148.1
139674,LD 4,LD,136.9680097,-31.7985284,137.2,1971-06-02,Noranda Australia Ltd.,151.1
139675,LD 5,LD,137.1346776,-31.8318574,83.1,1971-06-01,Noranda Australia Ltd.,156.4
139676,LD 6,LD,137.2513456,-31.7985224,67.8,1971-06-01,Noranda Australia Ltd.,154.9
139677,LD 7,LD,137.1013436,-31.9651944,75.3,1971-06-01,Noranda Australia Ltd.,170.7
256313,LY 2,LY,137.1326077,-31.4500464,667.4,1974-03-01,CSR Ltd.,114.6
256314,LY 3,LY,137.1542797,-31.4343714,246.6,1974-03-07,CSR Ltd.,113.4
139561,MF 1,MF,136.5814847,-31.7266644,94.5,1973-06-19,Pacminex Pty Ltd.,145.9
139776,MF 10,MF,136.9063347,-31.9224624,63.0,1974-09-16,Pacminex Pty Ltd.,164.7
139777,MF 11,MF,136.8375247,-31.9721834,48.0,1974-09-18,Pacminex Pty Ltd.,170.3
139778,MF 12,MF,136.9767647,-31.9024424,54.0,1974-09-20,Pacminex Pty Ltd.,162.7
139779,MF 13,MF,136.7873357,-31.6743354,96.0,1974-09-23,Pacminex Pty Ltd.,137.5
139768,MF 2,MF,136.6396127,-31.7313454,94.5,1973-06-21,Pacminex Pty Ltd.,145.4
139769,MF 3,MF,136.6161017,-31.7145064,15.0,1973-06-21,Pacminex Pty Ltd.,143.9
139770,MF 4,MF,136.6583447,-31.6571334,91.5,1973-06-22,Pacminex Pty Ltd.,137.0
139771,MF 5,MF,136.7366727,-31.7291554,96.0,1973-06-23,Pacminex Pty Ltd.,143.9
139772,MF 6,MF,136.8566097,-31.7103264,105.0,1973-06-24,Pacminex Pty Ltd.,141.2
139773,MF 7,MF,136.7286177,-31.8068384,66.0,1974-09-08,Pacminex Pty Ltd.,152.6
139774,MF 8,MF,136.8370587,-31.8423014,100.0,1974-09-11,Pacminex Pty Ltd.,155.9
139775,MF 9,MF,136.8394407,-31.9090164,90.0,1974-09-14,Pacminex Pty Ltd.,163.3
352245,MG 1,MG,137.0854859,-31.4701648,104.5,1973-05-01,Pacminex Pty Ltd.,116.0
352253,MG 10,MG,137.121557,-31.4401225,60.0,1973-06-30,Pacminex Pty Ltd.,113.3
352254,MG 11,MG,137.1220347,-31.4454453,39.0,1973-07-01,Pacminex Pty Ltd.,113.9
352255,MG 12,MG,137.1216336,-31.4491229,42.0,1973-07-01,Pacminex Pty Ltd.,114.3
352257,MG 13,MG,137.1163729,-31.4491197,54.0,1973-07-01,Pacminex Pty Ltd.,114.2
352258,MG 14,MG,137.153085,-31.4350142,33.0,1973-07-02,Pacminex Pty Ltd.,113.4
344154,MG 14D,MG,137.1530864,-31.4350773,43.77,1973-08-18,CSR Ltd.,113.4
352259,MG 15,MG,137.1477971,-31.4351661,37.5,1973-07-02,Pacminex Pty Ltd.,113.3
352261,MG 16,MG,137.149321,-31.4304955,42.0,1973-07-03,Pacminex Pty Ltd.,112.8
352262,MG 17,MG,137.1397611,-31.4278052,66.0,1973-07-04,Pacminex Pty Ltd.,112.3
352263,MG 18,MG,137.130328,-31.4246523,106.6,1973-07-05,Pacminex Pty Ltd.,111.8
352264,MG 19,MG,137.1438991,-31.4229015,33.0,1973-07-05,Pacminex Pty Ltd.,111.9
352265,MG 20,MG,137.1488414,-31.4186966,21.0,1973-07-07,Pacminex Pty Ltd.,111.5
352266,MG 21,MG,137.1372812,-31.4353331,72.0,1973-07-10,Pacminex Pty Ltd.,113.1
352270,MG 23,MG,137.1530658,-31.4341757,34.0,1974-08-09,Pacminex Pty Ltd.,113.3
352272,MG 24,MG,137.154138,-31.4350596,32.0,1974-08-10,Pacminex Pty Ltd.,113.4
352273,MG 25,MG,137.1572926,-31.4350065,22.5,1974-08-12,Pacminex Pty Ltd.,113.5
352274,MG 26,MG,137.1549832,-31.4260257,30.6,1974-08-10,Pacminex Pty Ltd.,112.5
352275,MG 27,MG,137.1540967,-31.4332564,34.4,1974-08-14,Pacminex Pty Ltd.,113.2
352276,MG 28,MG,137.1425708,-31.4352537,39.8,1974-08-14,Pacminex Pty Ltd.,113.2
352277,MG 29,MG,137.1266954,-31.4310084,48.0,1974-06-28,Pacminex Pty Ltd.,112.4
352247,MG 3,MG,137.1583784,-31.4351055,17.0,1973-05-03,Pacminex Pty Ltd.,113.5
352278,MG 30,MG,137.1424682,-31.4307455,60.0,1974-07-06,Pacminex Pty Ltd.,112.7
352279,MG 31,MG,137.1372106,-31.4308333,87.0,1974-07-10,Pacminex Pty Ltd.,112.6
352280,MG 32,MG,137.1541076,-31.4254542,39.0,1974-07-12,Pacminex Pty Ltd.,112.4
352281,MG 33,MG,137.1534627,-31.4216316,13.5,1974-07-12,Pacminex Pty Ltd.,112.0
352282,MG 34,MG,137.1371993,-31.4178181,61.5,1974-07-13,Pacminex Pty Ltd.,111.2
352283,MG 35,MG,137.0745828,-31.4529697,67.5,1974-08-01,Pacminex Pty Ltd.,113.9
352284,MG 36,MG,137.1169507,-31.465445,42.0,1974-08-02,Pacminex Pty Ltd.,116.0
352248,MG 4,MG,137.158437,-31.439497,18.0,1973-05-03,Pacminex Pty Ltd.,114.0
352285,MG 44,MG,137.1520142,-31.4341934,35.5,1974-08-17,Pacminex Pty Ltd.,113.3
352286,MG 45,MG,137.1520348,-31.435095,34.0,1974-08-19,Pacminex Pty Ltd.,113.4
352287,MG 46,MG,137.1520555,-31.4359966,26.0,1974-08-19,Pacminex Pty Ltd.,113.5
352288,MG 47,MG,137.153107,-31.4359789,27.0,1974-08-20,Pacminex Pty Ltd.,113.5
352289,MG 48,MG,137.1541586,-31.4359613,26.0,1974-08-21,Pacminex Pty Ltd.,113.5
352290,MG 49,MG,137.1561998,-31.433221,26.0,1974-08-21,Pacminex Pty Ltd.,113.3
352249,MG 5,MG,137.1063432,-31.4616784,96.0,1973-05-26,Pacminex Pty Ltd.,115.4
352291,MG 50,MG,137.1551482,-31.4332387,32.0,1974-08-22,Pacminex Pty Ltd.,113.3
352292,MG 51,MG,137.1530452,-31.4332741,36.0,1974-08-23,Pacminex Pty Ltd.,113.2
352293,MG 52,MG,137.1519936,-31.4332918,32.0,1974-08-24,Pacminex Pty Ltd.,113.2
373240,MG 59,MG,137.1498494,-31.4315238,46.5,1975-02-15,Pacminex Pty Ltd.,113.0
352250,MG 6,MG,137.1168005,-31.4587729,45.0,1973-06-14,Pacminex Pty Ltd.,115.3
373241,MG 60,MG,137.1477463,-31.4315591,51.75,1975-02-17,Pacminex Pty Ltd.,112.9
373242,MG 61,MG,137.1477052,-31.4297558,49.9,1975-02-19,Pacminex Pty Ltd.,112.7
373243,MG 62,MG,137.1456433,-31.4315943,57.25,1975-02-20,Pacminex Pty Ltd.,112.9
373244,MG 63,MG,137.1435403,-31.4316295,57.5,1975-02-22,Pacminex Pty Ltd.,112.8
373245,MG 64,MG,137.1477875,-31.4333624,50.0,1975-02-23,Pacminex Pty Ltd.,113.1
373246,MG 65,MG,137.1498906,-31.4333271,44.0,1975-02-23,Pacminex Pty Ltd.,113.2
373247,MG 66,MG,137.1499317,-31.4351303,37.0,1975-02-24,Pacminex Pty Ltd.,113.4
352251,MG 7,MG,137.1220475,-31.4581448,52.0,1973-06-15,Pacminex Pty Ltd.,115.3
352252,MG 9,MG,137.1218617,-31.453638,108.0,1973-06-17,Pacminex Pty Ltd.,114.8
18057,WOOMERA 1,WOOMERA 1,136.8513387,-31.1818594,611.12,1958-05-30,Clarence River Basin Oil Co.,82.5
139888,WP 10,WP,137.0198476,-31.9387454,45.7,1968-10-15,Noranda Australia Ltd.,167.0
139889,WP 11,WP,137.0292646,-31.9340864,36.6,1968-10-16,Noranda Australia Ltd.,166.6
139890,WP 12,WP,137.0396996,-31.9276064,23.3,1968-10-16,Noranda Australia Ltd.,165.9
139891,WP 13,WP,137.0439856,-31.9302424,140.2,1968-10-17,Noranda Australia Ltd.,166.3
139892,WP 14,WP,137.0632186,-31.9389504,26.8,1968-10-18,Noranda Australia Ltd.,167.4
139893,WP 15,WP,137.0019506,-31.9426364,30.48,1968-12-02,Noranda Australia Ltd.,167.3
139894,WP 16,WP,137.0073556,-31.9479644,30.48,1968-12-03,Noranda Australia Ltd.,168.0
139895,WP 17,WP,137.0032256,-31.9525364,45.7,1968-12-05,Noranda Australia Ltd.,168.4
139896,WP 18,WP,137.0117036,-31.9533064,21.3,1968-12-06,Noranda Australia Ltd.,168.6
139897,WP 19,WP,137.0191056,-31.9531894,35.7,1968-12-06,Noranda Australia Ltd.,168.6
139898,WP 20,WP,137.0189286,-31.9450724,45.7,1968-12-07,Noranda Australia Ltd.,167.7
139899,WP 21,WP,137.0284666,-31.9458224,30.48,1968-12-07,Noranda Australia Ltd.,167.9
139900,WP 22,WP,137.0283286,-31.9395114,30.48,1968-12-07,Noranda Australia Ltd.,167.2
139901,WP 23,WP,137.0228416,-31.9305814,37.2,1968-12-10,Noranda Australia Ltd.,166.1
139902,WP 24,WP,137.0269526,-31.9251034,30.48,1968-12-10,Noranda Australia Ltd.,165.6
139903,WP 25,WP,137.0590106,-31.9399204,61.0,1968-12-11,Noranda Australia Ltd.,167.5
139904,WP 26,WP,137.0653326,-31.9389164,58.8,1968-12-12,Noranda Australia Ltd.,167.4
139905,WP 27,WP,137.0769436,-31.9378244,28.3,1968-12-13,Noranda Australia Ltd.,167.4
139906,WP 28,WP,137.0875156,-31.9376494,15.2,1968-12-13,Noranda Australia Ltd.,167.5
139907,WP 29,WP,137.0781636,-31.9450194,34.7,1968-12-14,Noranda Australia Ltd.,168.2
139908,WP 30,WP,137.0686276,-31.9442744,39.3,1968-12-15,Noranda Australia Ltd.,168.0
