hole,sheet_page,depth_m,reading,susceptibility_cgs_e6,sg,remark
RDD1,350,5.88,10.0,34,,x10 scale? [CHECK]; NQ; external coil
RDD1,350,11.52,5.0,17,,
RDD1,350,17.14,7.3,25,,
RDD1,350,20.03,6.4,22,,
RDD1,350,26.0,8.2,28,,
RDD1,350,31.73,7.3,25,,S.D. 5
RDD1,350,34.88,7.8,27,,av 25
RDD1,350,41.04,12.0,41,,
RDD1,350,46.83,10.1,34,,
RDD1,350,51.0,9.2,31,,
RDD1,350,55.56,6.9,24,,
RDD1,350,63.2,6.8,23,,
RDD1,350,64.82,5.5,27,,core NQ->BQ
RDD1,350,74.0,6.0,20,,
RDD1,350,77.0,6.5,22,,
RDD1,350,81.15,5.3,18,,
RDD1,350,88.4,8.8,43,,
RDD1,350,96.0,8.2,40,,
RDD1,350,103.2,6.5,32,,
RDD1,350,108.0,10.7,52,,
RDD1,350,118.0,7.5,37,,
RDD1,350,121.35,5.6,27,,
RDD1,350,130.0,7.4,36,,
RDD1,350,136.6,5.5,27,,
RDD1,350,143.58,7.0,34,,
RDD1,350,147.78,6.0,29,,
RDD1,350,158.08,6.6,32,,
RDD1,350,164.84,6.0,29,,
RDD1,350,171.0,5.5,27,,
RDD1,350,179.0,5.3,26,,S.D. 8
RDD1,350,184.5,5.2,25,,av 31
RDD1,350,194.0,7.5,37,,
RDD1,350,200.18,6.0,29,,av 32
RDD1,350,206.27,7.1,35,,
RDD1,350,215.0,16.8,82,,
RDD1,350,220.5,15.0,73,,
RDD1,350,229.4,10.5,51,,
RDD1,350,232.48,11.3,55,,
RDD1,350,241.0,16.0,78,,
RDD1,350,247.0,15.0,73,,
RDD1,350,255.0,14.0,68,,
RDD1,350,262.0,14.0,68,,
RDD1,349,271.35,300.9,189.4,2.7,
RDD1,349,278.0,233.9,147.5,2.71,
RDD1,349,284.0,202.7,128.2,2.72,
RDD1,349,292.0,176.0,111.5,2.73,shale
RDD1,349,295.5,201.0,127.4,2.73,
RDD1,349,307.0,250.6,158.8,2.73,marker 307.00 m
RDD1,349,308.6,183.1,115.1,2.69,
RDD1,349,319.0,242.6,153.8,2.73,S.D. 0.09
RDD1,349,325.0,211.6,133.8,2.72,av 2.67
RDD1,349,335.5,206.2,142.0,3.21,conglomerate
RDD1,349,340.81,263.7,174.0,2.94,
RDD1,349,345.0,276.8,140.7,3.21,
RDD1,349,354.5,208.3,143.6,3.22,cut in half
RDD1,349,362.5,143.6,101.3,3.39,
RDD1,349,366.5,128.6,82.8,2.81,
RDD1,349,374.2,138.9,86.0,2.92,
RDD1,349,382.5,130.1,88.1,3.1,
RDD1,349,388.0,140.4,94.1,3.03,
RDD1,349,396.0,320.5,214.5,3.02,
RDD1,349,403.0,202.7,131.3,2.84,
RDD1,349,408.08,227.8,147.0,2.82,S.D. 0.19
RDD5,352,105.42,684.7,423.4,2.62,quartzite; NQ
RDD5,352,108.53,543.0,332.2,2.58,NQ
RDD5,352,112.0,664.2,409.9,2.61,NQ
RDD5,352,118.42,358.5,221.4,2.61,NQ
RDD5,352,120.28,364.8,222.3,2.56,NQ
RDD5,352,128.0,413.3,252.3,2.57,
RDD5,352,135.23,244.8,149.4,2.57,
RDD5,352,143.26,331.7,203.0,2.58,
RDD5,352,149.26,302.2,186.7,2.62,
RDD5,352,153.93,225.9,138.9,2.6,
RDD5,352,161.8,229.0,139.4,2.56,
RDD5,352,166.45,276.1,165.0,2.49,
RDD5,352,172.0,204.0,123.4,2.53,
RDD5,352,180.0,457.1,278.6,2.56,S.D. 0.04
RDD5,352,184.65,225.4,134.5,2.48,
RDD5,352,190.0,185.6,107.9,2.39,sandstone
RDD5,352,198.5,191.1,109.3,2.34,
RDD5,352,203.1,185.3,105.6,2.32,
RDD5,352,208.12,218.1,132.8,2.56,S.D. 0.11
RDD5,352,214.7,190.1,116.4,2.58,shale
RDD5,352,221.24,193.8,122.1,2.7,
RDD5,352,227.3,264.4,165.6,2.68,
RDD5,352,234.24,278.4,173.2,2.65,
RDD5,352,238.8,249.9,159.3,2.76,
RDD5,352,245.06,250.2,156.6,2.67,
RDD5,352,250.0,234.0,146.2,2.67,
RDD5,352,256.0,269.9,168.7,2.67,
RDD5,352,264.09,260.7,163.8,2.69,
RDD5,352,268.0,201.2,126.5,2.69,
RDD5,352,276.3,236.0,148.7,2.7,
RDD5,352,280.0,189.7,117.4,2.62,
RDD5,352,288.0,254.8,161.6,2.73,
RDD5,352,293.2,216.7,137.1,2.72,
RDD5,352,298.5,235.1,149.2,2.74,
RDD5,352,305.6,204.7,130.2,2.75,
RDD5,352,310.0,250.2,156.2,2.66,S.D./av noted
RDD5,352,318.5,221.6,140.8,2.74,
RDD5,352,320.5,117.6,73.8,2.68,
RDD5,352,328.0,434.0,280.0,2.82,granite
RDD5,352,329.82,253.6,176.0,3.27,conglomerate; depth overwritten [CHECK]
RDD5,352,333.7,433.9,280.6,2.83,granite; S.G. digit unclear [CHECK]
RDD5,352,340.0,312.0,199.8,2.78,
RDD5,353,346.5,388.5,250.7,2.82,
RDD5,353,352.0,379.7,242.3,2.76,
RDD5,353,358.0,205.4,130.5,2.74,
RDD5,353,363.5,302.5,196.2,2.85,
RDD5,353,370.0,154.1,97.2,2.71,
RDD5,353,375.0,209.3,132.0,2.71,
RDD5,353,380.5,174.9,109.2,2.66,
RDD5,353,386.76,133.9,85.1,2.74,
RDD5,353,395.0,201.4,128.2,2.75,
RDD5,353,401.0,113.6,72.5,2.76,
RDD5,353,404.68,115.3,73.0,2.73,
RDD5,353,412.0,145.5,93.6,2.8,
RDD5,353,416.15,85.2,54.1,2.74,
RDD5,353,424.0,176.5,110.6,2.68,
RDD5,353,429.5,161.2,129.9,5.15,S.G. 5.15 as written — massive hematite? outlier [CHECK]
RDD5,353,436.0,104.8,67.1,2.78,
RDD5,353,441.0,160.8,101.8,2.73,
RDD5,353,449.15,211.6,134.1,2.73,
RDD5,353,458.0,123.0,78.2,2.75,S.D. 0.05; order as written
RDD5,353,453.72,114.4,73.0,2.76,av 2.76; order as written
