depth_m,scale,reading,core_diam,susceptibility_cgs_e6,probable_sg,remark
271.35,1200,300.9,BQ,189.4,2.70,
278.00,1200,233.9,BQ,147.5,2.71,
284.00,1200,202.7,BQ,128.2,2.72,
292.00,1200,176.0,BQ,111.5,2.73,shale
295.50,1200,201.0,BQ,127.4,2.73,
307.00,1200,250.6,BQ,158.8,2.73,marker at 307.00 m
308.60,1200,183.1,BQ,115.1,2.69,
319.00,1200,242.6,BQ,153.8,2.73,S.D. 0.09 noted
325.00,1200,211.6,BQ,133.8,2.72,av 2.67 noted
335.50,1200,206.2,BQ,142.0,3.21,conglomerate
340.81,1200,263.7,BQ,174.0,2.94,
345.00,1200,276.8,BQ,140.7,3.21,
354.50,1200,208.3,BQ,143.6,3.22,cut in half noted
362.50,1200,143.6,BQ,101.3,3.39,
366.50,1200,128.6,BQ,82.8,2.81,
374.20,1200,138.9,BQ,86.0,2.92,
382.50,1200,130.1,BQ,88.1,3.10,
388.00,1200,140.4,BQ,94.1,3.03,
396.00,1200,320.5,BQ,214.5,3.02,
403.00,1200,202.7,BQ,131.3,2.84,
408.08,1200,227.8,BQ,147.0,2.82,S.D. 0.19 noted
