case,field,statistic,observed,sim_p05,sim_median,sim_p95,quantile,status
k4,g,n_per_1e4km2,4.1,1.64,3.28,4.92,0.69,PASS
k4,g,amp_median,8.04,4.71,14.68,31.55,0.165,PASS
k4,g,amp_p90,20.37,12.69,23.72,39.85,0.345,PASS
k4,g,width_median_km,13.49,8.13,31.6,60.24,0.1,PASS
k4,g,residual_sd,6.49,5.58,10.5,15.09,0.12,PASS
k4,m,n_per_1e4km2,9.35,32.73,40.21,48.63,0.0,FAIL
k4,m,amp_median,398.08,354.95,972.39,2214.49,0.095,PASS
k4,m,amp_p90,3127.72,1513.53,3058.9,3816.6,0.54,PASS
k4,m,width_median_km,7.3,6.08,7.4,8.91,0.44,PASS
k4,m,residual_sd,475.5,256.57,592.7,879.08,0.355,PASS
k16,g,n_per_1e4km2,4.1,1.64,3.28,4.92,0.69,PASS
k16,g,amp_median,8.04,4.71,14.68,31.55,0.165,PASS
k16,g,amp_p90,20.37,12.69,23.72,39.85,0.345,PASS
k16,g,width_median_km,13.49,8.13,31.6,60.24,0.1,PASS
k16,g,residual_sd,6.49,5.58,10.5,15.09,0.12,PASS
k16,m,n_per_1e4km2,9.35,3.74,7.48,10.29,0.785,PASS
k16,m,amp_median,398.08,172.45,696.61,2772.51,0.305,PASS
k16,m,amp_p90,3127.72,837.18,2829.7,3753.17,0.615,PASS
k16,m,width_median_km,7.3,8.95,16.85,26.31,0.025,WARN
k16,m,residual_sd,475.5,173.06,506.77,793.62,0.465,PASS
two,g,n_per_1e4km2,4.1,1.64,4.1,8.2,0.33,PASS
two,g,amp_median,8.04,3.89,7.23,20.21,0.575,PASS
two,g,amp_p90,20.37,9.84,18.75,30.82,0.57,PASS
two,g,width_median_km,13.49,5.16,13.58,48.69,0.495,PASS
two,g,residual_sd,6.49,4.48,8.26,12.27,0.29,PASS
two,m,n_per_1e4km2,9.35,20.57,28.99,36.47,0.0,FAIL
two,m,amp_median,398.08,338.18,727.59,1734.6,0.1,PASS
two,m,amp_p90,3127.72,1780.29,2913.2,3713.48,0.68,PASS
two,m,width_median_km,7.3,5.21,6.68,8.52,0.705,PASS
two,m,residual_sd,475.5,454.63,709.63,994.52,0.095,PASS
two80,g,n_per_1e4km2,4.1,1.64,2.46,4.92,0.685,PASS
two80,g,amp_median,8.04,3.95,12.25,28.78,0.28,PASS
two80,g,amp_p90,20.37,11.53,21.63,34.75,0.445,PASS
two80,g,width_median_km,13.49,5.64,33.95,61.52,0.2,PASS
two80,g,residual_sd,6.49,5.16,9.39,14.65,0.195,PASS
two80,m,n_per_1e4km2,9.35,11.22,17.77,25.3,0.02,WARN
two80,m,amp_median,398.08,161.09,399.28,1118.36,0.49,PASS
two80,m,amp_p90,3127.72,1032.06,2343.1,3396.47,0.9,PASS
two80,m,width_median_km,7.3,4.24,5.96,8.82,0.785,PASS
two80,m,residual_sd,475.5,362.83,596.67,877.43,0.245,PASS
